query,page,clicks,impressions,ctr,avg_position,country
buy hospitality tools,/blog/guide,1148,10704,0.0871,20.6,UK
how to hospitality services,/blog/guide,1167,36044,0.0259,29.0,UK
top hospitality services,/pricing,216,33046,0.0068,21.8,US
how to hospitality tools,/pricing,633,37641,0.0349,39.0,SG
best hospitality software,/product,983,1990,0.0417,27.8,SG
best hospitality services,/blog/guide,1043,4079,0.0731,14.2,UK
top hospitality solution,/case-studies,1176,49718,0.0685,16.9,IN
best hospitality tools,/,1160,27114,0.0123,23.2,US
how to hospitality services,/blog/guide,245,3356,0.1045,2.3,IN
buy hospitality services,/pricing,219,42844,0.1077,30.6,SG
how to hospitality tools,/blog/guide,747,41381,0.0767,29.3,IN
compare hospitality solution,/,800,26666,0.1088,30.1,UK
top hospitality solution,/pricing,720,36127,0.0421,36.2,SG
top hospitality software,/,683,45377,0.0176,24.7,SG
buy hospitality services,/product,1071,40008,0.0136,44.5,IN
best hospitality tools,/pricing,125,11095,0.0022,25.9,US
compare hospitality tools,/product,436,46514,0.024,16.2,US
best hospitality tools,/case-studies,804,17986,0.0577,24.3,IN
buy hospitality tools,/pricing,848,35135,0.0586,2.3,IN
buy hospitality software,/,1163,24303,0.1164,6.1,UK
compare hospitality tools,/,892,3161,0.014,7.4,SG
top hospitality tools,/pricing,853,42265,0.0784,8.8,UK
buy hospitality solution,/case-studies,822,34931,0.0134,36.7,UK
compare hospitality tools,/,818,12774,0.0415,29.6,SG
how to hospitality services,/case-studies,1194,24809,0.086,6.5,IN
buy hospitality solution,/pricing,604,35744,0.0122,1.5,UK
compare hospitality solution,/case-studies,322,44067,0.0839,32.9,IN
best hospitality services,/blog/guide,685,41009,0.02,4.9,US
buy hospitality tools,/,1033,28866,0.0131,14.4,UK
top hospitality software,/blog/guide,106,11541,0.1194,29.8,US
best hospitality services,/blog/guide,1125,6019,0.0196,39.0,US
how to hospitality services,/blog/guide,1130,35840,0.0744,23.7,US
top hospitality tools,/product,888,23950,0.0403,4.8,UK
how to hospitality solution,/,208,16134,0.003,18.3,UK
top hospitality software,/blog/guide,519,14542,0.0147,32.7,SG
top hospitality software,/blog/guide,990,48151,0.0025,40.8,IN
how to hospitality solution,/product,758,4591,0.0724,37.0,IN
best hospitality solution,/product,1148,10209,0.0454,28.0,US
best hospitality solution,/,379,8240,0.0677,4.9,SG
top hospitality solution,/pricing,1151,41158,0.0873,18.7,UK
