refund_id,order_id,refund_date,reason,amount
cli_0005_rf_00003,cli_0005_ord_00003,2026-02-19,customer_request,410.13
cli_0005_rf_00010,cli_0005_ord_00010,2026-04-19,other,1750.79
cli_0005_rf_00012,cli_0005_ord_00012,2026-03-07,customer_request,1260.9
cli_0005_rf_00014,cli_0005_ord_00014,2026-03-28,shipping_delay,364.99
cli_0005_rf_00042,cli_0005_ord_00042,2026-01-12,other,1439.05
cli_0005_rf_00064,cli_0005_ord_00064,2026-04-06,other,888.17
cli_0005_rf_00069,cli_0005_ord_00069,2026-01-20,other,1485.79
cli_0005_rf_00081,cli_0005_ord_00081,2026-04-07,other,713.52
cli_0005_rf_00093,cli_0005_ord_00093,2026-02-20,duplicate_charge,869.29
cli_0005_rf_00109,cli_0005_ord_00109,2026-02-04,customer_request,1447.59
cli_0005_rf_00114,cli_0005_ord_00114,2026-02-03,customer_request,1417.89
cli_0005_rf_00115,cli_0005_ord_00115,2026-04-10,duplicate_charge,349.34
cli_0005_rf_00132,cli_0005_ord_00132,2026-03-17,other,372.1
cli_0005_rf_00160,cli_0005_ord_00160,2026-02-09,shipping_delay,1885.84
cli_0005_rf_00167,cli_0005_ord_00167,2026-03-13,duplicate_charge,207.85
cli_0005_rf_00169,cli_0005_ord_00169,2026-02-21,shipping_delay,361.33
cli_0005_rf_00185,cli_0005_ord_00185,2026-01-30,duplicate_charge,1397.22
cli_0005_rf_00202,cli_0005_ord_00202,2026-03-16,product_issue,403.92
cli_0005_rf_00205,cli_0005_ord_00205,2026-03-09,other,469.01
cli_0005_rf_00213,cli_0005_ord_00213,2026-03-11,shipping_delay,1939.03
cli_0005_rf_00235,cli_0005_ord_00235,2026-01-19,duplicate_charge,1140.25
