query,page,clicks,impressions,ctr,avg_position,country
buy saas services,/,1081,14362,0.0516,1.1,IN
top saas services,/blog/guide,1037,13213,0.0116,15.0,IN
compare saas solution,/case-studies,231,21148,0.098,4.5,IN
top saas software,/pricing,124,13034,0.0612,34.2,US
buy saas services,/,1176,2023,0.0425,17.6,UK
best saas solution,/case-studies,75,43955,0.078,3.7,US
buy saas software,/case-studies,1146,45807,0.0354,13.4,US
best saas tools,/pricing,717,7625,0.0416,23.2,US
compare saas software,/product,328,19217,0.1071,33.5,US
best saas software,/pricing,1169,23023,0.1188,38.6,UK
top saas software,/blog/guide,105,27789,0.0421,28.2,US
how to saas services,/product,688,27961,0.0379,7.8,IN
compare saas solution,/product,893,25262,0.1194,21.7,US
how to saas tools,/blog/guide,442,15199,0.1077,18.6,US
compare saas solution,/case-studies,490,19947,0.0403,14.3,US
how to saas services,/pricing,1013,37307,0.0421,41.8,UK
how to saas solution,/pricing,847,11591,0.1011,10.3,US
best saas software,/blog/guide,897,6003,0.0513,19.5,IN
how to saas tools,/pricing,822,25038,0.0777,12.6,US
top saas solution,/blog/guide,498,30185,0.0166,22.3,US
top saas solution,/pricing,335,11242,0.1128,15.2,UK
best saas software,/blog/guide,993,20259,0.0827,28.4,UK
buy saas software,/case-studies,591,42167,0.0843,20.2,UK
compare saas software,/product,130,3189,0.1109,41.9,IN
buy saas tools,/case-studies,133,48838,0.0088,6.2,IN
best saas solution,/blog/guide,906,12891,0.0895,31.3,US
best saas software,/,1131,38616,0.1135,39.6,US
buy saas solution,/product,654,37750,0.0273,34.6,IN
buy saas tools,/pricing,1073,16161,0.043,6.2,US
compare saas solution,/product,1039,10909,0.1068,23.4,US
top saas software,/case-studies,516,19129,0.0972,19.5,US
best saas services,/blog/guide,1008,277,0.0317,9.2,IN
top saas software,/product,546,31718,0.0492,22.9,IN
top saas services,/blog/guide,178,906,0.0702,11.7,IN
compare saas tools,/pricing,1101,43965,0.0745,14.1,US
compare saas tools,/product,1085,34616,0.1028,8.7,IN
best saas software,/product,608,25876,0.0101,10.7,UK
top saas software,/,699,21869,0.0637,10.1,US
buy saas tools,/case-studies,783,7118,0.0818,12.0,US
buy saas solution,/product,317,49644,0.0721,33.5,IN
