customer_id,purchase_date,order_number,revenue,is_repeat_purchase
CUST_000001,2024-12-27,1,319.37,False
CUST_000001,2025-07-20,2,197.08,True
CUST_000001,2025-06-26,3,102.85,True
CUST_000001,2024-09-13,4,391.81,True
CUST_000001,2025-04-23,5,397.3,True
CUST_000001,2025-06-19,6,595.47,True
CUST_000002,2025-03-22,1,475.09,False
CUST_000002,2025-11-05,2,459.45,True
CUST_000002,2025-05-22,3,44.05,True
CUST_000003,2025-02-06,1,490.53,False
CUST_000003,2024-11-06,2,448.77,True
CUST_000003,2024-09-09,3,363.09,True
CUST_000004,2024-07-31,1,172.92,False
CUST_000004,2025-01-18,2,466.1,True
CUST_000004,2024-07-17,3,193.01,True
CUST_000004,2024-05-25,4,343.7,True
CUST_000004,2024-06-27,5,151.95,True
CUST_000007,2025-02-25,1,116.35,False
CUST_000017,2025-03-26,1,339.58,False
CUST_000019,2025-01-29,1,423.94,False
CUST_000019,2025-04-22,2,363.79,True
CUST_000019,2025-04-14,3,365.05,True
CUST_000020,2025-06-12,1,143.57,False
CUST_000021,2026-02-20,1,132.91,False
CUST_000021,2025-05-07,2,132.5,True
CUST_000021,2026-01-21,3,269.35,True
CUST_000021,2025-10-15,4,313.96,True
CUST_000022,2025-09-02,1,371.52,False
CUST_000022,2026-01-05,2,61.99,True
CUST_000022,2026-01-26,3,671.47,True
CUST_000022,2026-07-05,4,374.33,True
CUST_000022,2026-02-26,5,545.78,True
CUST_000022,2026-01-24,6,118.18,True
CUST_000029,2026-03-26,1,638.77,False
CUST_000029,2026-08-14,2,189.56,True
CUST_000029,2026-05-06,3,128.73,True
CUST_000029,2026-06-12,4,683.88,True
CUST_000029,2025-10-28,5,43.39,True
CUST_000029,2026-07-04,6,224.64,True
CUST_000029,2026-10-13,7,147.15,True
CUST_000030,2025-04-16,1,503.41,False
CUST_000030,2025-06-03,2,238.03,True
CUST_000030,2025-02-02,3,61.25,True
CUST_000030,2025-08-17,4,356.8,True
CUST_000030,2025-01-23,5,354.06,True
CUST_000030,2025-08-02,6,595.1,True
CUST_000030,2025-06-28,7,655.33,True
CUST_000031,2025-02-25,1,399.03,False
CUST_000033,2025-10-16,1,684.63,False
CUST_000036,2025-07-13,1,463.34,False
CUST_000036,2025-05-04,2,172.87,True
CUST_000037,2026-05-06,1,461.27,False
CUST_000037,2025-10-01,2,507.61,True
CUST_000037,2026-03-22,3,84.8,True
CUST_000037,2026-03-18,4,127.71,True
CUST_000037,2025-10-31,5,88.01,True
CUST_000037,2025-11-04,6,356.68,True
CUST_000037,2026-05-09,7,53.24,True
CUST_000038,2024-04-17,1,414.82,False
CUST_000040,2026-01-19,1,484.11,False
CUST_000040,2026-03-02,2,635.65,True
CUST_000040,2025-10-24,3,567.4,True
CUST_000040,2026-06-27,4,233.79,True
CUST_000040,2026-04-01,5,653.56,True
CUST_000040,2026-06-24,6,511.52,True
CUST_000042,2026-03-12,1,300.16,False
CUST_000042,2025-10-21,2,532.6,True
CUST_000042,2025-06-08,3,68.42,True
CUST_000042,2026-02-10,4,166.95,True
CUST_000042,2025-07-31,5,346.67,True
CUST_000042,2025-08-09,6,459.82,True
CUST_000042,2025-11-11,7,292.12,True
CUST_000043,2025-05-06,1,566.88,False
CUST_000047,2025-05-24,1,197.21,False
CUST_000047,2025-10-17,2,596.94,True
CUST_000049,2024-10-20,1,78.77,False
CUST_000049,2024-05-20,2,288.24,True
CUST_000049,2024-07-27,3,50.92,True
CUST_000050,2026-01-02,1,476.23,False
CUST_000050,2026-01-19,2,557.85,True
CUST_000050,2025-10-25,3,188.76,True
CUST_000050,2026-05-13,4,94.19,True
CUST_000050,2026-08-10,5,554.55,True
CUST_000050,2026-03-05,6,639.52,True
CUST_000051,2025-06-14,1,58.72,False
CUST_000051,2026-01-07,2,382.78,True
CUST_000051,2025-08-03,3,673.71,True
CUST_000051,2026-04-29,4,266.87,True
CUST_000051,2026-02-06,5,174.91,True
CUST_000051,2026-01-21,6,458.76,True
CUST_000054,2026-05-28,1,395.46,False
CUST_000054,2025-12-10,2,361.27,True
CUST_000054,2025-10-05,3,85.54,True
CUST_000054,2026-01-14,4,158.49,True
CUST_000054,2026-07-24,5,667.43,True
CUST_000054,2026-05-26,6,250.07,True
CUST_000055,2025-11-18,1,167.35,False
CUST_000055,2026-08-01,2,320.11,True
CUST_000055,2026-05-21,3,501.58,True
CUST_000055,2026-07-09,4,214.15,True
CUST_000055,2026-05-01,5,336.7,True
CUST_000056,2024-11-28,1,697.57,False
CUST_000056,2025-04-22,2,71.49,True
CUST_000056,2025-05-09,3,625.33,True
CUST_000057,2025-05-18,1,563.22,False
CUST_000057,2025-05-07,2,421.13,True
CUST_000058,2024-09-18,1,215.92,False
CUST_000058,2024-11-06,2,80.96,True
CUST_000058,2025-02-13,3,47.63,True
CUST_000058,2025-04-11,4,612.62,True
CUST_000058,2024-09-26,5,215.9,True
CUST_000058,2024-09-23,6,524.22,True
CUST_000058,2025-03-03,7,64.69,True
CUST_000062,2025-02-04,1,99.57,False
CUST_000062,2025-01-27,2,387.87,True
CUST_000062,2024-09-18,3,281.27,True
CUST_000062,2025-04-02,4,76.77,True
CUST_000063,2025-12-26,1,600.59,False
CUST_000063,2026-02-26,2,332.72,True
CUST_000063,2026-01-21,3,535.51,True
CUST_000063,2026-01-05,4,597.97,True
CUST_000063,2025-10-22,5,472.41,True
CUST_000063,2025-10-13,6,287.25,True
CUST_000065,2025-06-29,1,695.77,False
CUST_000065,2025-12-06,2,494.07,True
CUST_000065,2025-10-10,3,657.43,True
CUST_000065,2025-07-25,4,288.32,True
CUST_000065,2025-12-26,5,692.89,True
CUST_000065,2025-09-18,6,95.0,True
CUST_000065,2025-06-28,7,292.42,True
CUST_000069,2025-07-31,1,589.62,False
CUST_000069,2025-11-18,2,459.02,True
CUST_000069,2025-02-26,3,154.25,True
CUST_000069,2025-09-12,4,684.28,True
CUST_000069,2025-07-11,5,85.65,True
CUST_000069,2025-01-08,6,325.43,True
CUST_000070,2025-01-24,1,283.4,False
CUST_000070,2025-07-07,2,312.08,True
CUST_000070,2024-11-22,3,247.77,True
CUST_000070,2025-07-26,4,97.93,True
CUST_000070,2024-11-11,5,368.7,True
CUST_000070,2025-05-28,6,210.61,True
CUST_000070,2024-11-25,7,662.49,True
CUST_000072,2025-08-16,1,500.89,False
CUST_000072,2025-12-14,2,675.33,True
CUST_000073,2024-04-02,1,321.09,False
CUST_000073,2024-10-04,2,375.21,True
CUST_000073,2024-05-15,3,691.93,True
CUST_000074,2025-10-20,1,577.54,False
CUST_000074,2026-01-28,2,251.35,True
CUST_000075,2025-09-03,1,344.86,False
CUST_000075,2025-05-30,2,457.24,True
CUST_000075,2025-03-27,3,615.39,True
CUST_000077,2025-08-29,1,597.97,False
CUST_000077,2025-11-15,2,290.87,True
CUST_000082,2026-08-18,1,139.37,False
CUST_000082,2026-10-01,2,211.77,True
CUST_000082,2026-05-01,3,550.11,True
CUST_000082,2026-10-23,4,497.77,True
CUST_000082,2026-08-10,5,445.02,True
CUST_000082,2025-12-28,6,425.26,True
CUST_000083,2025-10-03,1,285.1,False
CUST_000083,2025-11-30,2,641.31,True
CUST_000084,2025-05-05,1,443.12,False
CUST_000084,2025-08-21,2,613.49,True
CUST_000084,2025-09-05,3,293.73,True
CUST_000084,2025-06-09,4,157.54,True
CUST_000084,2025-11-11,5,273.85,True
CUST_000088,2025-09-15,1,50.17,False
CUST_000088,2025-06-22,2,397.68,True
CUST_000088,2025-08-09,3,240.11,True
CUST_000089,2024-06-11,1,431.84,False
CUST_000089,2024-10-10,2,355.86,True
CUST_000089,2025-01-26,3,461.96,True
CUST_000089,2024-09-16,4,601.93,True
CUST_000089,2024-08-07,5,544.44,True
CUST_000089,2024-10-18,6,282.72,True
CUST_000089,2024-02-17,7,631.23,True
CUST_000090,2025-04-10,1,517.96,False
CUST_000092,2025-03-31,1,180.59,False
CUST_000092,2025-05-04,2,322.37,True
CUST_000092,2025-06-28,3,77.47,True
CUST_000092,2025-03-22,4,218.08,True
CUST_000092,2024-12-08,5,455.43,True
CUST_000092,2025-03-15,6,318.29,True
CUST_000093,2025-03-07,1,178.23,False
CUST_000093,2025-05-16,2,144.13,True
CUST_000093,2025-08-02,3,273.77,True
CUST_000093,2025-03-09,4,48.14,True
CUST_000093,2026-02-04,5,330.28,True
CUST_000093,2025-09-16,6,166.94,True
CUST_000097,2024-12-20,1,403.35,False
CUST_000097,2025-03-15,2,191.64,True
CUST_000097,2025-05-09,3,540.59,True
CUST_000099,2024-08-06,1,85.52,False
