refund_id,order_id,refund_date,reason,amount
cli_0013_rf_00007,cli_0013_ord_00007,2026-04-16,product_issue,1251.34
cli_0013_rf_00013,cli_0013_ord_00013,2026-03-30,duplicate_charge,468.25
cli_0013_rf_00018,cli_0013_ord_00018,2026-01-10,customer_request,1740.64
cli_0013_rf_00023,cli_0013_ord_00023,2026-01-05,duplicate_charge,1621.62
cli_0013_rf_00030,cli_0013_ord_00030,2026-04-17,duplicate_charge,1345.68
cli_0013_rf_00035,cli_0013_ord_00035,2026-02-21,duplicate_charge,752.92
cli_0013_rf_00040,cli_0013_ord_00040,2026-01-11,customer_request,1303.46
cli_0013_rf_00047,cli_0013_ord_00047,2026-03-12,other,71.49
cli_0013_rf_00070,cli_0013_ord_00070,2026-02-23,product_issue,2187.88
cli_0013_rf_00079,cli_0013_ord_00079,2026-03-29,customer_request,458.36
cli_0013_rf_00086,cli_0013_ord_00086,2026-04-06,customer_request,1082.67
cli_0013_rf_00093,cli_0013_ord_00093,2026-02-16,duplicate_charge,923.66
cli_0013_rf_00101,cli_0013_ord_00101,2026-04-24,shipping_delay,1207.56
cli_0013_rf_00111,cli_0013_ord_00111,2026-04-04,shipping_delay,376.25
cli_0013_rf_00126,cli_0013_ord_00126,2026-03-02,product_issue,702.28
cli_0013_rf_00152,cli_0013_ord_00152,2026-01-10,shipping_delay,473.27
cli_0013_rf_00157,cli_0013_ord_00157,2026-03-20,product_issue,1278.74
cli_0013_rf_00162,cli_0013_ord_00162,2026-01-14,product_issue,254.75
cli_0013_rf_00168,cli_0013_ord_00168,2026-03-01,duplicate_charge,711.08
cli_0013_rf_00172,cli_0013_ord_00172,2026-01-01,other,1424.99
cli_0013_rf_00192,cli_0013_ord_00192,2026-02-07,product_issue,1565.45
