date,channel,campaign_name,ad_set_or_group,spend,impressions,clicks,conversions,ctr,cpc,cpa,status
2026-02-24,meta_ads,Nova Commerce Brand,A,818.5,1313590,52933,5495,0.0403,0.02,0.15,active
2026-02-24,email,Nova Commerce Offer,B,730.72,1772400,58919,2084,0.0332,0.01,0.35,learning
2026-02-24,organic,Nova Commerce Launch,C,880.65,1069700,11366,1322,0.0106,0.08,0.67,limited
2026-02-24,direct,Nova Commerce Launch,D,768.6,1567701,43082,662,0.0275,0.02,1.16,active
2026-02-24,referral,Nova Commerce Brand,D,663.97,1208984,65078,3544,0.0538,0.01,0.19,active
2026-02-25,meta_ads,Nova Commerce Retargeting,B,1181.15,1230108,41362,480,0.0336,0.03,2.46,paused
2026-02-25,email,Nova Commerce Prospecting,D,833.54,769777,30277,2944,0.0393,0.03,0.28,active
2026-02-25,organic,Nova Commerce Offer,C,824.23,1990043,102363,11878,0.0514,0.01,0.07,active
2026-02-25,direct,Nova Commerce Brand,A,862.85,1135063,42987,3420,0.0379,0.02,0.25,active
2026-02-25,referral,Nova Commerce Offer,B,913.75,990125,62982,3113,0.0636,0.01,0.29,learning
2026-02-26,meta_ads,Nova Commerce Launch,C,759.13,1212204,58013,2341,0.0479,0.01,0.32,active
2026-02-26,email,Nova Commerce Retargeting,A,933.35,1242713,28610,1245,0.023,0.03,0.75,limited
2026-02-26,organic,Nova Commerce Prospecting,C,1195.36,1690559,72315,5238,0.0428,0.02,0.23,active
2026-02-26,direct,Nova Commerce Prospecting,C,660.71,738615,21519,2228,0.0291,0.03,0.3,active
2026-02-26,referral,Nova Commerce Brand,D,786.5,1441189,42299,4479,0.0294,0.02,0.18,learning
2026-02-27,meta_ads,Nova Commerce Prospecting,B,843.1,1745982,56366,5502,0.0323,0.01,0.15,active
2026-02-27,email,Nova Commerce Launch,B,896.24,920912,28134,2131,0.0306,0.03,0.42,paused
2026-02-27,organic,Nova Commerce Offer,C,777.85,1379651,70520,2423,0.0511,0.01,0.32,active
2026-02-27,direct,Nova Commerce Launch,C,876.9,2144249,125806,14717,0.0587,0.01,0.06,active
2026-02-27,referral,Nova Commerce Prospecting,A,839.3,1177596,76670,3184,0.0651,0.01,0.26,active
2026-02-28,meta_ads,Nova Commerce Offer,D,1216.01,1416583,26457,492,0.0187,0.05,2.47,learning
2026-02-28,email,Nova Commerce Launch,A,786.78,1576250,69746,7662,0.0442,0.01,0.1,active
2026-02-28,organic,Nova Commerce Offer,D,817.55,1496842,18162,199,0.0121,0.05,4.11,active
2026-02-28,direct,Nova Commerce Brand,B,984.61,1148170,65908,5474,0.0574,0.01,0.18,active
2026-02-28,referral,Nova Commerce Brand,D,890.13,2065532,139323,9750,0.0675,0.01,0.09,learning
2026-03-01,meta_ads,Nova Commerce Retargeting,B,971.92,2272184,76581,3460,0.0337,0.01,0.28,learning
2026-03-01,email,Nova Commerce Brand,D,906.81,1905304,47947,4620,0.0252,0.02,0.2,learning
2026-03-01,organic,Nova Commerce Retargeting,A,991.77,1690616,26231,552,0.0155,0.04,1.8,paused
2026-03-01,direct,Nova Commerce Offer,C,661.01,580425,8412,507,0.0145,0.08,1.3,active
2026-03-01,referral,Nova Commerce Launch,B,887.93,1148361,71552,7746,0.0623,0.01,0.11,learning
2026-03-02,meta_ads,Nova Commerce Offer,A,1094.19,2318867,151704,17902,0.0654,0.01,0.06,active
2026-03-02,email,Nova Commerce Launch,D,714.25,1604943,58026,964,0.0362,0.01,0.74,learning
2026-03-02,organic,Nova Commerce Launch,A,643.63,1309564,65068,6745,0.0497,0.01,0.1,active
2026-03-02,direct,Nova Commerce Retargeting,C,770.12,1433930,97943,8633,0.0683,0.01,0.09,active
2026-03-02,referral,Nova Commerce Launch,C,675.17,638306,43613,4411,0.0683,0.02,0.15,active
2026-03-03,meta_ads,Nova Commerce Retargeting,D,534.3,1241334,64703,6374,0.0521,0.01,0.08,paused
