query,page,clicks,impressions,ctr,avg_position,country
how to marketplace tools,/pricing,618,27782,0.1,23.1,IN
buy marketplace solution,/pricing,366,21199,0.0568,5.5,UK
best marketplace tools,/product,110,11328,0.1184,5.6,US
buy marketplace solution,/blog/guide,618,11692,0.0072,7.4,IN
compare marketplace software,/blog/guide,913,12865,0.1054,4.1,AU
how to marketplace tools,/pricing,216,41953,0.011,31.3,US
best marketplace software,/,1133,10078,0.0746,35.0,UK
best marketplace services,/product,1012,21132,0.0807,30.7,AU
buy marketplace software,/,757,23992,0.0398,5.4,UK
best marketplace software,/blog/guide,1172,6335,0.0718,12.8,UK
top marketplace tools,/product,294,41735,0.0174,14.0,AU
top marketplace services,/case-studies,683,46982,0.0485,23.3,UK
buy marketplace software,/pricing,227,40862,0.0995,16.7,US
compare marketplace solution,/case-studies,1190,40583,0.0512,19.5,UK
compare marketplace services,/product,200,23710,0.0391,26.2,AU
best marketplace software,/blog/guide,473,48922,0.0454,27.6,IN
how to marketplace services,/case-studies,633,45682,0.0762,10.3,US
top marketplace services,/product,216,5926,0.0563,4.8,IN
how to marketplace services,/case-studies,736,41938,0.104,7.2,IN
best marketplace tools,/case-studies,783,45919,0.1101,19.5,AU
buy marketplace services,/pricing,443,13668,0.0721,34.7,IN
buy marketplace services,/pricing,1093,29367,0.1188,35.8,UK
top marketplace solution,/pricing,81,31797,0.109,44.1,AU
compare marketplace tools,/,873,39003,0.0035,1.4,US
how to marketplace software,/blog/guide,817,16911,0.1105,2.7,AU
best marketplace software,/blog/guide,164,33956,0.1066,4.2,AU
compare marketplace services,/,376,41056,0.0791,13.6,UK
buy marketplace tools,/blog/guide,860,49354,0.0627,10.7,UK
best marketplace tools,/pricing,1091,9594,0.0034,31.3,IN
best marketplace services,/,389,32802,0.0374,40.6,IN
compare marketplace services,/pricing,225,24207,0.0239,6.5,IN
how to marketplace tools,/product,829,25101,0.077,35.7,UK
best marketplace services,/pricing,1041,1916,0.0073,44.8,AU
how to marketplace services,/blog/guide,444,24196,0.085,27.9,UK
top marketplace services,/case-studies,554,40540,0.0811,18.9,UK
how to marketplace tools,/pricing,874,39958,0.0018,41.3,UK
buy marketplace solution,/,1065,6214,0.0868,37.7,IN
compare marketplace services,/pricing,55,25537,0.0098,29.8,US
buy marketplace solution,/blog/guide,989,24901,0.0959,7.2,IN
buy marketplace tools,/pricing,352,22249,0.0229,42.7,AU
