payment_id,invoice_id,payment_date,currency,amount,method,status
cli_0006_pay_0002,cli_0006_inv_0002,2026-04-12,CAD,8564.13,paypal,settled
cli_0006_pay_0005,cli_0006_inv_0005,2026-04-18,CAD,7867.88,bank_transfer,settled
cli_0006_pay_0007,cli_0006_inv_0007,2026-01-19,CAD,664.25,upi,settled
cli_0006_pay_0009,cli_0006_inv_0009,2026-03-30,CAD,4900.78,card,settled
cli_0006_pay_0011,cli_0006_inv_0011,2026-01-04,CAD,10594.94,upi,settled
cli_0006_pay_0012,cli_0006_inv_0012,2025-12-01,CAD,3683.68,paypal,settled
cli_0006_pay_0014,cli_0006_inv_0014,2026-03-04,CAD,3201.88,card,settled
cli_0006_pay_0016,cli_0006_inv_0016,2025-12-26,CAD,9848.71,upi,settled
cli_0006_pay_0018,cli_0006_inv_0018,2026-01-14,CAD,8960.65,upi,settled
cli_0006_pay_0019,cli_0006_inv_0019,2026-04-18,CAD,6196.84,card,settled
cli_0006_pay_0023,cli_0006_inv_0023,2025-12-13,CAD,8165.19,upi,settled
cli_0006_pay_0024,cli_0006_inv_0024,2026-02-22,CAD,11911.2,bank_transfer,settled
cli_0006_pay_0025,cli_0006_inv_0025,2026-02-18,CAD,4740.0,paypal,settled
cli_0006_pay_0027,cli_0006_inv_0027,2026-03-17,CAD,4866.27,upi,settled
cli_0006_pay_0030,cli_0006_inv_0030,2026-03-07,CAD,11341.89,card,settled
cli_0006_pay_0031,cli_0006_inv_0031,2026-03-01,CAD,7595.58,paypal,settled
cli_0006_pay_0032,cli_0006_inv_0032,2026-01-26,CAD,3196.41,bank_transfer,settled
cli_0006_pay_0033,cli_0006_inv_0033,2026-03-11,CAD,212.75,bank_transfer,settled
cli_0006_pay_0034,cli_0006_inv_0034,2026-02-12,CAD,4971.08,paypal,settled
cli_0006_pay_0035,cli_0006_inv_0035,2026-03-12,CAD,3447.68,paypal,settled
cli_0006_pay_0036,cli_0006_inv_0036,2025-12-02,CAD,8696.19,upi,settled
cli_0006_pay_0037,cli_0006_inv_0037,2026-02-10,CAD,9203.49,upi,settled
cli_0006_pay_0038,cli_0006_inv_0038,2026-01-28,CAD,9026.44,bank_transfer,settled
cli_0006_pay_0043,cli_0006_inv_0043,2026-04-01,CAD,5382.63,card,settled
cli_0006_pay_0044,cli_0006_inv_0044,2025-12-05,CAD,7028.18,upi,settled
cli_0006_pay_0045,cli_0006_inv_0045,2025-12-19,CAD,6302.64,card,settled
cli_0006_pay_0047,cli_0006_inv_0047,2026-04-10,CAD,4778.85,bank_transfer,settled
cli_0006_pay_0048,cli_0006_inv_0048,2026-03-10,CAD,3339.19,paypal,settled
cli_0006_pay_0049,cli_0006_inv_0049,2026-04-13,CAD,9641.15,card,settled
cli_0006_pay_0051,cli_0006_inv_0051,2026-03-29,CAD,6238.4,card,settled
cli_0006_pay_0052,cli_0006_inv_0052,2025-12-26,CAD,4465.09,paypal,settled
cli_0006_pay_0053,cli_0006_inv_0053,2025-11-26,CAD,10730.75,upi,settled
cli_0006_pay_0055,cli_0006_inv_0055,2026-04-13,CAD,4828.93,bank_transfer,settled
cli_0006_pay_0056,cli_0006_inv_0056,2026-03-21,CAD,10514.43,bank_transfer,settled
cli_0006_pay_0057,cli_0006_inv_0057,2026-03-17,CAD,8720.31,upi,settled
cli_0006_pay_0059,cli_0006_inv_0059,2025-12-19,CAD,6364.36,paypal,settled
cli_0006_pay_0060,cli_0006_inv_0060,2026-02-17,CAD,3083.76,bank_transfer,settled
cli_0006_pay_0061,cli_0006_inv_0061,2026-02-02,CAD,2514.89,upi,settled
cli_0006_pay_0062,cli_0006_inv_0062,2026-02-23,CAD,3583.45,paypal,settled
cli_0006_pay_0063,cli_0006_inv_0063,2026-01-21,CAD,4658.17,bank_transfer,settled
