query,page,clicks,impressions,ctr,avg_position,country
buy hospitality software,/blog/guide,871,12334,0.0762,12.0,EU
top hospitality tools,/case-studies,283,22126,0.0037,35.6,US
compare hospitality services,/,849,39819,0.0616,23.3,US
top hospitality services,/blog/guide,981,49689,0.0926,3.9,US
best hospitality tools,/product,1008,44514,0.1079,35.5,US
top hospitality software,/case-studies,48,26332,0.1044,2.7,EU
compare hospitality services,/pricing,337,7401,0.0583,43.4,UK
buy hospitality software,/pricing,289,43818,0.0583,15.6,UK
top hospitality software,/blog/guide,587,43210,0.0598,37.2,EU
buy hospitality services,/blog/guide,30,24008,0.0214,13.1,IN
how to hospitality services,/blog/guide,419,47112,0.1167,13.3,IN
how to hospitality software,/,20,44533,0.0264,7.4,EU
how to hospitality services,/case-studies,108,6913,0.0669,41.5,US
best hospitality solution,/pricing,888,48014,0.022,5.9,US
top hospitality services,/case-studies,576,27036,0.0717,23.4,IN
how to hospitality solution,/blog/guide,168,3866,0.0841,5.4,IN
top hospitality solution,/case-studies,1169,4599,0.0725,29.6,IN
best hospitality software,/product,214,18422,0.1016,18.9,UK
buy hospitality solution,/product,1084,1430,0.0486,40.5,UK
best hospitality software,/pricing,1145,14388,0.0659,6.6,IN
top hospitality services,/pricing,302,15800,0.0335,24.2,US
best hospitality tools,/,1199,422,0.0991,42.1,US
top hospitality services,/product,128,4585,0.0966,1.3,US
best hospitality software,/pricing,224,40964,0.0166,13.6,US
compare hospitality services,/product,980,34754,0.0473,43.7,EU
buy hospitality services,/product,184,23285,0.1176,31.6,EU
top hospitality software,/product,127,42238,0.1045,1.4,US
how to hospitality tools,/pricing,950,3305,0.1141,2.0,US
best hospitality software,/pricing,577,44806,0.0071,32.8,EU
compare hospitality tools,/pricing,211,19174,0.1172,8.1,EU
top hospitality services,/,217,2027,0.0096,42.7,UK
compare hospitality software,/case-studies,1047,33016,0.0684,27.1,UK
best hospitality solution,/product,171,11756,0.0902,3.3,EU
top hospitality services,/blog/guide,747,23946,0.0123,10.4,IN
how to hospitality services,/product,1087,18224,0.0615,18.1,UK
buy hospitality services,/product,163,19849,0.0054,19.5,EU
buy hospitality solution,/blog/guide,285,13188,0.0449,19.6,IN
compare hospitality services,/pricing,1005,23561,0.017,32.9,UK
best hospitality software,/,1130,22563,0.0216,12.7,US
buy hospitality services,/case-studies,309,30562,0.0654,31.7,IN
