payment_id,invoice_id,payment_date,currency,amount,method,status
cli_0021_pay_0001,cli_0021_inv_0001,2026-04-13,USD,11806.26,bank_transfer,settled
cli_0021_pay_0002,cli_0021_inv_0002,2026-01-01,USD,4904.41,upi,settled
cli_0021_pay_0003,cli_0021_inv_0003,2026-04-13,USD,4731.75,upi,settled
cli_0021_pay_0004,cli_0021_inv_0004,2026-03-20,USD,1677.78,card,settled
cli_0021_pay_0005,cli_0021_inv_0005,2025-12-04,USD,5798.38,card,settled
cli_0021_pay_0006,cli_0021_inv_0006,2025-12-20,USD,9686.73,upi,settled
cli_0021_pay_0007,cli_0021_inv_0007,2025-11-27,USD,5943.78,paypal,settled
cli_0021_pay_0008,cli_0021_inv_0008,2026-02-08,USD,8292.77,upi,settled
cli_0021_pay_0009,cli_0021_inv_0009,2026-03-21,USD,11493.3,upi,settled
cli_0021_pay_0010,cli_0021_inv_0010,2026-03-09,USD,10744.36,upi,settled
cli_0021_pay_0011,cli_0021_inv_0011,2025-12-23,USD,6875.37,bank_transfer,settled
cli_0021_pay_0012,cli_0021_inv_0012,2025-12-17,USD,3279.46,paypal,settled
cli_0021_pay_0013,cli_0021_inv_0013,2026-03-12,USD,1980.08,bank_transfer,settled
cli_0021_pay_0014,cli_0021_inv_0014,2025-12-21,USD,10375.96,bank_transfer,settled
cli_0021_pay_0017,cli_0021_inv_0017,2026-02-18,USD,3385.39,paypal,settled
cli_0021_pay_0018,cli_0021_inv_0018,2025-12-12,USD,7660.13,upi,settled
cli_0021_pay_0019,cli_0021_inv_0019,2026-02-20,USD,5005.94,card,settled
cli_0021_pay_0020,cli_0021_inv_0020,2026-04-06,USD,11926.27,paypal,settled
cli_0021_pay_0021,cli_0021_inv_0021,2026-03-25,USD,2514.02,card,settled
cli_0021_pay_0022,cli_0021_inv_0022,2026-01-18,USD,2713.24,card,settled
cli_0021_pay_0023,cli_0021_inv_0023,2026-01-12,USD,7400.89,card,settled
cli_0021_pay_0024,cli_0021_inv_0024,2025-12-10,USD,11232.09,bank_transfer,settled
cli_0021_pay_0025,cli_0021_inv_0025,2026-01-18,USD,3217.89,upi,settled
cli_0021_pay_0026,cli_0021_inv_0026,2025-12-21,USD,630.22,card,settled
cli_0021_pay_0027,cli_0021_inv_0027,2026-01-23,USD,11900.47,card,settled
cli_0021_pay_0029,cli_0021_inv_0029,2026-03-06,USD,11572.04,card,settled
cli_0021_pay_0030,cli_0021_inv_0030,2026-01-10,USD,274.15,paypal,settled
cli_0021_pay_0033,cli_0021_inv_0033,2026-01-30,USD,755.89,bank_transfer,settled
cli_0021_pay_0034,cli_0021_inv_0034,2026-02-11,USD,9892.23,card,settled
