order_id,created_at,customer_id,product,currency,amount,discount_pct,channel,status,payment_method
cli_0014_ord_00001,2026-02-28,a6ec1aad470c,annual subscription,INR,336.35,5,organic,paid,upi
cli_0014_ord_00002,2025-12-27,66ae54cdc689,audit package,INR,2369.19,5,meta_ads,paid,wallet
cli_0014_ord_00003,2026-01-29,7dd18fb78eb0,service retainer,INR,174.95,10,organic,paid,card
cli_0014_ord_00004,2026-02-17,540d8c1c5a8f,pro plan,INR,1666.88,20,organic,paid,paypal
cli_0014_ord_00005,2025-11-16,377e0fc8f820,audit package,INR,761.87,10,tiktok_ads,paid,paypal
cli_0014_ord_00006,2025-12-16,d3e300f53f0a,audit package,INR,2090.47,0,meta_ads,paid,wallet
cli_0014_ord_00007,2025-11-24,1e6106629673,membership,INR,2440.32,10,organic,refunded,bank_transfer
cli_0014_ord_00008,2025-11-19,7cdd0f689906,audit package,INR,1444.27,10,meta_ads,paid,bank_transfer
cli_0014_ord_00009,2026-04-03,4750cead9f9e,premium bundle,INR,662.51,0,meta_ads,paid,paypal
cli_0014_ord_00010,2026-04-07,3783e2a37ceb,starter plan,INR,319.98,10,organic,paid,card
cli_0014_ord_00011,2026-04-20,ae5a83bb89ec,service retainer,INR,2474.86,20,tiktok_ads,paid,wallet
cli_0014_ord_00012,2026-04-04,39dd347bce85,starter plan,INR,169.98,25,tiktok_ads,paid,wallet
cli_0014_ord_00013,2025-10-30,03f737342363,starter plan,INR,804.2,25,tiktok_ads,paid,paypal
cli_0014_ord_00014,2026-01-11,3a0755a1bbca,pro plan,INR,1960.0,20,tiktok_ads,paid,bank_transfer
cli_0014_ord_00015,2025-11-22,28d4d4ea7195,starter plan,INR,1269.11,15,tiktok_ads,refunded,upi
cli_0014_ord_00016,2025-12-13,767069e8e365,pro plan,INR,1859.76,5,tiktok_ads,paid,card
cli_0014_ord_00017,2025-11-02,0531e7f0bb87,annual subscription,INR,2120.83,5,tiktok_ads,paid,bank_transfer
cli_0014_ord_00018,2026-01-05,28049226225f,premium bundle,INR,1835.54,10,meta_ads,paid,card
cli_0014_ord_00019,2025-12-20,289cce242d8c,premium bundle,INR,1758.33,5,tiktok_ads,paid,paypal
cli_0014_ord_00020,2026-03-20,902e0a337244,pro plan,INR,1558.54,0,tiktok_ads,refunded,card
cli_0014_ord_00021,2026-04-11,ad842f7c0fb8,service retainer,INR,96.36,20,organic,paid,paypal
cli_0014_ord_00022,2025-12-15,6f2d9f42c45f,membership,INR,49.38,0,organic,paid,paypal
cli_0014_ord_00023,2026-04-23,e72f39dbff97,membership,INR,1622.72,15,meta_ads,paid,paypal
