query,page,clicks,impressions,ctr,avg_position,country
buy subscription software,/case-studies,1099,3198,0.086,25.2,US
buy subscription solution,/,280,39639,0.0207,12.2,UK
best subscription tools,/pricing,440,26899,0.1107,43.6,UK
how to subscription software,/case-studies,181,33081,0.0323,40.4,IN
best subscription software,/pricing,185,27711,0.0167,37.9,UK
how to subscription software,/,439,3595,0.0279,22.6,IN
compare subscription tools,/case-studies,640,12459,0.048,43.4,UK
top subscription tools,/,1172,4414,0.0291,19.1,US
top subscription services,/product,999,34283,0.0016,24.9,IN
top subscription solution,/,51,33047,0.0664,21.5,UK
top subscription solution,/case-studies,974,4552,0.0827,2.0,IN
top subscription tools,/case-studies,410,5966,0.0202,30.3,UK
buy subscription solution,/pricing,931,9842,0.0679,40.0,IN
top subscription tools,/,478,39189,0.0155,15.9,IN
how to subscription services,/pricing,321,20637,0.0943,14.5,UK
best subscription services,/,511,7667,0.0058,44.5,UK
compare subscription services,/,386,41583,0.065,43.4,US
compare subscription services,/blog/guide,786,5723,0.0335,29.9,IN
best subscription services,/blog/guide,176,39528,0.0866,1.1,IN
buy subscription solution,/pricing,526,19429,0.0663,20.9,IN
buy subscription services,/blog/guide,209,33879,0.0805,40.7,UK
best subscription solution,/,196,9834,0.0159,21.1,UK
buy subscription services,/pricing,960,41751,0.0458,12.6,UK
top subscription tools,/pricing,698,7295,0.0241,3.5,UK
buy subscription tools,/case-studies,818,35651,0.0337,44.5,US
buy subscription solution,/product,170,49009,0.0723,30.5,UK
buy subscription software,/blog/guide,28,41048,0.0742,7.9,UK
best subscription software,/product,766,14704,0.0326,1.9,UK
top subscription software,/product,972,48216,0.0741,24.3,US
best subscription services,/,483,42272,0.0569,2.3,UK
top subscription services,/blog/guide,391,10927,0.0686,44.7,UK
best subscription software,/pricing,301,29680,0.0949,5.8,US
top subscription software,/product,586,14536,0.0982,33.8,UK
how to subscription software,/product,416,21501,0.0112,16.5,US
how to subscription tools,/,176,12814,0.04,21.7,UK
compare subscription software,/product,800,21372,0.1143,20.0,IN
compare subscription solution,/,363,45476,0.1017,29.1,UK
buy subscription services,/pricing,514,5298,0.0171,32.5,UK
top subscription solution,/blog/guide,1062,22231,0.0944,3.6,UK
how to subscription solution,/product,384,18845,0.0603,36.8,UK
