date,channel,campaign_name,ad_set_or_group,spend,impressions,clicks,conversions,ctr,cpc,cpa,status
2026-02-24,google_ads,Pulse Market Offer,D,248.15,405265,11901,483,0.0294,0.02,0.51,learning
2026-02-24,email,Pulse Market Prospecting,C,233.9,477740,33143,3808,0.0694,0.01,0.06,active
2026-02-24,direct,Pulse Market Brand,C,258.21,570834,22560,2522,0.0395,0.01,0.1,paused
2026-02-24,linkedin_ads,Pulse Market Retargeting,A,295.24,411921,14032,594,0.0341,0.02,0.5,active
2026-02-24,tiktok_ads,Pulse Market Offer,A,182.94,346413,23980,500,0.0692,0.01,0.37,active
2026-02-25,google_ads,Pulse Market Brand,D,194.95,328483,18911,1977,0.0576,0.01,0.1,active
2026-02-25,email,Pulse Market Launch,A,263.98,419389,16054,486,0.0383,0.02,0.54,active
2026-02-25,direct,Pulse Market Brand,A,289.97,412066,24659,1640,0.0598,0.01,0.18,paused
2026-02-25,linkedin_ads,Pulse Market Launch,A,267.02,253251,11339,1152,0.0448,0.02,0.23,active
2026-02-25,tiktok_ads,Pulse Market Launch,B,202.8,279849,14372,827,0.0514,0.01,0.25,active
2026-02-26,google_ads,Pulse Market Prospecting,B,320.93,604550,33088,2836,0.0547,0.01,0.11,learning
2026-02-26,email,Pulse Market Launch,B,329.83,428030,22072,1570,0.0516,0.01,0.21,active
2026-02-26,direct,Pulse Market Retargeting,D,321.47,378227,23362,504,0.0618,0.01,0.64,active
2026-02-26,linkedin_ads,Pulse Market Retargeting,D,248.65,563620,31023,753,0.055,0.01,0.33,active
2026-02-26,tiktok_ads,Pulse Market Launch,C,336.95,762656,14134,771,0.0185,0.02,0.44,learning
2026-02-27,google_ads,Pulse Market Launch,C,323.49,281286,6894,663,0.0245,0.05,0.49,active
2026-02-27,email,Pulse Market Brand,A,253.51,537600,15000,1435,0.0279,0.02,0.18,active
2026-02-27,direct,Pulse Market Offer,A,189.93,355387,19718,2272,0.0555,0.01,0.08,paused
2026-02-27,linkedin_ads,Pulse Market Offer,B,236.69,406867,13267,1550,0.0326,0.02,0.15,active
2026-02-27,tiktok_ads,Pulse Market Prospecting,D,164.93,230946,11293,261,0.0489,0.01,0.63,paused
2026-02-28,google_ads,Pulse Market Retargeting,C,237.97,485778,23086,243,0.0475,0.01,0.98,active
2026-02-28,email,Pulse Market Brand,C,308.11,421562,5573,357,0.0132,0.06,0.86,active
2026-02-28,direct,Pulse Market Brand,C,299.85,605051,26566,1026,0.0439,0.01,0.29,active
2026-02-28,linkedin_ads,Pulse Market Launch,C,265.16,493531,17298,249,0.035,0.02,1.06,active
2026-02-28,tiktok_ads,Pulse Market Launch,B,197.23,167495,5030,314,0.03,0.04,0.63,active
2026-03-01,google_ads,Pulse Market Brand,D,335.01,349720,12401,484,0.0355,0.03,0.69,limited
2026-03-01,email,Pulse Market Launch,D,145.52,318965,6197,384,0.0194,0.02,0.38,paused
2026-03-01,direct,Pulse Market Offer,A,216.04,228090,5316,453,0.0233,0.04,0.48,learning
2026-03-01,linkedin_ads,Pulse Market Brand,B,194.99,408651,28456,1779,0.0696,0.01,0.11,active
2026-03-01,tiktok_ads,Pulse Market Offer,A,223.09,462408,4743,265,0.0103,0.05,0.84,active
2026-03-02,google_ads,Pulse Market Launch,B,288.49,644436,11454,973,0.0178,0.03,0.3,active
2026-03-02,email,Pulse Market Launch,C,293.22,548276,37129,3624,0.0677,0.01,0.08,active
2026-03-02,direct,Pulse Market Retargeting,A,278.73,446340,19006,1772,0.0426,0.01,0.16,active
2026-03-02,linkedin_ads,Pulse Market Brand,A,222.99,202819,12872,934,0.0635,0.02,0.24,active
2026-03-02,tiktok_ads,Pulse Market Brand,D,171.61,331185,7406,547,0.0224,0.02,0.31,active
2026-03-03,google_ads,Pulse Market Offer,A,312.16,664829,25765,2701,0.0388,0.01,0.12,limited
