date,channel,campaign_name,ad_set_or_group,spend,impressions,clicks,conversions,ctr,cpc,cpa,status
2026-02-24,linkedin_ads,Pulse Studio Launch,B,169.72,179491,3418,181,0.019,0.05,0.94,limited
2026-02-24,tiktok_ads,Pulse Studio Retargeting,A,197.01,463490,9283,180,0.02,0.02,1.09,active
2026-02-24,organic,Pulse Studio Launch,A,132.82,331682,23129,1283,0.0697,0.01,0.1,paused
2026-02-25,linkedin_ads,Pulse Studio Offer,B,142.68,323454,10614,431,0.0328,0.01,0.33,active
2026-02-25,tiktok_ads,Pulse Studio Retargeting,C,160.77,393657,5755,473,0.0146,0.03,0.34,active
2026-02-25,organic,Pulse Studio Brand,C,205.98,474065,6690,721,0.0141,0.03,0.29,active
2026-02-26,linkedin_ads,Pulse Studio Retargeting,B,200.18,229408,10345,988,0.0451,0.02,0.2,limited
2026-02-26,tiktok_ads,Pulse Studio Prospecting,A,159.29,331233,15591,1032,0.0471,0.01,0.15,active
2026-02-26,organic,Pulse Studio Brand,C,200.83,357104,22056,1193,0.0618,0.01,0.17,learning
2026-02-27,linkedin_ads,Pulse Studio Launch,D,175.61,256411,11915,320,0.0465,0.01,0.55,active
2026-02-27,tiktok_ads,Pulse Studio Offer,A,154.58,337024,13225,696,0.0392,0.01,0.22,active
2026-02-27,organic,Pulse Studio Brand,D,148.59,252808,12218,528,0.0483,0.01,0.28,limited
2026-02-28,linkedin_ads,Pulse Studio Brand,C,154.67,297034,9897,397,0.0333,0.02,0.39,paused
2026-02-28,tiktok_ads,Pulse Studio Prospecting,D,129.84,246016,17150,1874,0.0697,0.01,0.07,active
2026-02-28,organic,Pulse Studio Brand,C,160.08,274407,13339,204,0.0486,0.01,0.78,active
2026-03-01,linkedin_ads,Pulse Studio Retargeting,A,149.52,179444,11021,178,0.0614,0.01,0.84,paused
2026-03-01,tiktok_ads,Pulse Studio Prospecting,A,226.83,202867,2622,276,0.0129,0.09,0.82,active
2026-03-01,organic,Pulse Studio Brand,A,176.59,289185,16091,1533,0.0556,0.01,0.12,active
2026-03-02,linkedin_ads,Pulse Studio Launch,B,209.83,203975,8847,478,0.0434,0.02,0.44,learning
2026-03-02,tiktok_ads,Pulse Studio Retargeting,D,187.63,192007,6530,387,0.034,0.03,0.48,limited
2026-03-02,organic,Pulse Studio Offer,A,167.54,360325,5521,290,0.0153,0.03,0.58,active
2026-03-03,linkedin_ads,Pulse Studio Prospecting,A,152.55,327969,17566,1182,0.0536,0.01,0.13,paused
2026-03-03,tiktok_ads,Pulse Studio Launch,C,98.46,236069,11085,990,0.047,0.01,0.1,active
2026-03-03,organic,Pulse Studio Prospecting,B,216.31,468052,30834,331,0.0659,0.01,0.65,active
2026-03-04,linkedin_ads,Pulse Studio Offer,C,145.08,168411,1835,144,0.0109,0.08,1.01,limited
2026-03-04,tiktok_ads,Pulse Studio Brand,D,233.09,551770,26938,3134,0.0488,0.01,0.07,active
2026-03-04,organic,Pulse Studio Brand,D,106.34,92135,3659,310,0.0397,0.03,0.34,active
2026-03-05,linkedin_ads,Pulse Studio Launch,B,151.07,247907,3339,398,0.0135,0.05,0.38,learning
2026-03-05,tiktok_ads,Pulse Studio Retargeting,D,164.91,351386,11313,1023,0.0322,0.01,0.16,active
2026-03-05,organic,Pulse Studio Offer,A,169.74,179380,2132,131,0.0119,0.08,1.3,active
2026-03-06,linkedin_ads,Pulse Studio Offer,C,173.27,197008,7490,663,0.038,0.02,0.26,active
2026-03-06,tiktok_ads,Pulse Studio Retargeting,D,173.9,406318,18214,1177,0.0448,0.01,0.15,active
2026-03-06,organic,Pulse Studio Offer,C,143.95,124189,7495,331,0.0604,0.02,0.43,learning
