payment_id,invoice_id,payment_date,currency,amount,method,status
cli_0008_pay_0002,cli_0008_inv_0002,2025-11-30,AED,11848.64,card,settled
cli_0008_pay_0003,cli_0008_inv_0003,2025-12-10,AED,5454.82,upi,settled
cli_0008_pay_0004,cli_0008_inv_0004,2026-01-29,AED,9985.12,card,settled
cli_0008_pay_0005,cli_0008_inv_0005,2026-02-15,AED,4489.94,upi,settled
cli_0008_pay_0006,cli_0008_inv_0006,2026-01-17,AED,11541.05,paypal,settled
cli_0008_pay_0008,cli_0008_inv_0008,2026-01-20,AED,2237.55,card,settled
cli_0008_pay_0011,cli_0008_inv_0011,2026-04-08,AED,11406.59,bank_transfer,settled
cli_0008_pay_0012,cli_0008_inv_0012,2026-02-24,AED,6625.45,bank_transfer,settled
cli_0008_pay_0013,cli_0008_inv_0013,2026-03-31,AED,8203.22,upi,settled
cli_0008_pay_0014,cli_0008_inv_0014,2026-02-22,AED,5790.44,bank_transfer,settled
cli_0008_pay_0015,cli_0008_inv_0015,2026-03-23,AED,2148.33,paypal,settled
cli_0008_pay_0016,cli_0008_inv_0016,2026-02-02,AED,11932.33,upi,settled
cli_0008_pay_0017,cli_0008_inv_0017,2026-01-10,AED,9117.67,bank_transfer,settled
cli_0008_pay_0020,cli_0008_inv_0020,2026-01-09,AED,5519.87,upi,settled
cli_0008_pay_0021,cli_0008_inv_0021,2026-01-14,AED,4477.61,paypal,settled
cli_0008_pay_0022,cli_0008_inv_0022,2026-03-09,AED,6174.68,upi,settled
cli_0008_pay_0024,cli_0008_inv_0024,2026-01-07,AED,6461.88,paypal,settled
cli_0008_pay_0025,cli_0008_inv_0025,2026-01-14,AED,11445.39,upi,settled
cli_0008_pay_0027,cli_0008_inv_0027,2025-12-02,AED,1572.89,card,settled
cli_0008_pay_0028,cli_0008_inv_0028,2026-01-03,AED,6215.49,bank_transfer,settled
cli_0008_pay_0031,cli_0008_inv_0031,2025-12-01,AED,6281.5,paypal,settled
cli_0008_pay_0032,cli_0008_inv_0032,2025-12-24,AED,9222.25,bank_transfer,settled
cli_0008_pay_0034,cli_0008_inv_0034,2025-12-01,AED,8508.3,bank_transfer,settled
cli_0008_pay_0035,cli_0008_inv_0035,2026-03-22,AED,2821.15,bank_transfer,settled
cli_0008_pay_0036,cli_0008_inv_0036,2025-12-19,AED,8401.55,paypal,settled
cli_0008_pay_0037,cli_0008_inv_0037,2026-04-02,AED,8085.79,bank_transfer,settled
cli_0008_pay_0039,cli_0008_inv_0039,2026-01-19,AED,463.79,bank_transfer,settled
cli_0008_pay_0040,cli_0008_inv_0040,2026-02-04,AED,10397.21,upi,settled
cli_0008_pay_0042,cli_0008_inv_0042,2026-03-06,AED,3855.01,bank_transfer,settled
cli_0008_pay_0043,cli_0008_inv_0043,2026-01-01,AED,1503.94,upi,settled
cli_0008_pay_0044,cli_0008_inv_0044,2026-03-02,AED,9153.13,bank_transfer,settled
cli_0008_pay_0045,cli_0008_inv_0045,2025-12-20,AED,8197.04,bank_transfer,settled
cli_0008_pay_0050,cli_0008_inv_0050,2026-03-20,AED,2659.58,paypal,settled
cli_0008_pay_0051,cli_0008_inv_0051,2026-03-18,AED,9163.7,bank_transfer,settled
cli_0008_pay_0052,cli_0008_inv_0052,2025-12-02,AED,6742.87,card,settled
cli_0008_pay_0054,cli_0008_inv_0054,2026-01-14,AED,4233.52,paypal,settled
cli_0008_pay_0055,cli_0008_inv_0055,2026-03-25,AED,2116.81,upi,settled
cli_0008_pay_0058,cli_0008_inv_0058,2025-12-30,AED,4407.07,card,settled
cli_0008_pay_0060,cli_0008_inv_0060,2025-12-26,AED,10527.65,card,settled
cli_0008_pay_0061,cli_0008_inv_0061,2025-12-22,AED,9943.78,card,settled
cli_0008_pay_0062,cli_0008_inv_0062,2026-02-07,AED,6479.17,paypal,settled
