query,page,clicks,impressions,ctr,avg_position,country
top education software,/product,909,9596,0.0618,35.9,CA
buy education services,/case-studies,248,18122,0.0326,22.1,IN
compare education solution,/case-studies,24,240,0.0152,18.1,UK
buy education services,/blog/guide,10,18550,0.0176,27.0,IN
top education services,/pricing,603,7898,0.0205,35.4,CA
best education services,/blog/guide,1134,25640,0.1072,11.2,CA
how to education software,/case-studies,633,15657,0.0528,16.4,UK
how to education solution,/product,919,38971,0.12,21.7,IN
how to education tools,/pricing,807,44572,0.029,8.0,UK
best education solution,/product,1088,6434,0.0269,24.9,UK
compare education software,/,306,47359,0.1029,14.4,UK
how to education services,/,1082,44067,0.084,42.7,UK
compare education tools,/product,477,40256,0.1116,41.1,CA
top education tools,/pricing,180,16994,0.0383,37.9,IN
best education solution,/blog/guide,653,36478,0.068,35.5,IN
top education services,/,889,13926,0.0796,27.6,CA
buy education services,/case-studies,790,24549,0.0096,44.1,US
how to education tools,/,1179,23011,0.0685,31.5,UK
compare education solution,/pricing,1067,18811,0.0374,43.3,CA
best education solution,/blog/guide,216,34579,0.0924,11.6,IN
how to education services,/,116,6635,0.0125,31.3,US
compare education services,/blog/guide,921,25075,0.0304,7.3,CA
top education tools,/pricing,123,26975,0.1021,42.2,US
top education solution,/case-studies,690,45213,0.0903,20.4,IN
best education software,/blog/guide,652,43565,0.069,5.0,US
how to education software,/blog/guide,1093,30114,0.0816,20.0,IN
best education software,/,324,30662,0.0188,6.0,IN
best education solution,/pricing,1191,9080,0.1128,4.7,CA
best education software,/,1058,49195,0.0631,38.5,CA
best education services,/case-studies,907,581,0.0631,17.8,US
compare education services,/,848,18023,0.0786,34.8,US
top education software,/,68,31786,0.0589,29.9,US
best education software,/product,1179,42159,0.0528,18.1,US
buy education tools,/pricing,407,46354,0.0315,41.5,IN
best education solution,/product,774,32472,0.0142,17.7,CA
top education services,/,726,40105,0.0313,19.8,US
top education tools,/case-studies,792,47079,0.067,4.9,UK
top education software,/case-studies,328,16188,0.1153,12.4,IN
top education solution,/pricing,652,44669,0.1123,29.4,CA
top education solution,/case-studies,128,41619,0.0977,24.6,US
