query,page,clicks,impressions,ctr,avg_position,country
buy marketplace tools,/product,950,29972,0.0052,27.1,US
compare marketplace services,/,547,24131,0.0745,29.9,IN
compare marketplace tools,/product,986,13180,0.0018,4.5,US
best marketplace software,/product,678,31587,0.0998,41.1,US
best marketplace solution,/,917,20543,0.0844,2.3,UK
compare marketplace solution,/product,918,29685,0.0931,20.1,IN
how to marketplace solution,/product,77,1420,0.0271,12.7,IN
buy marketplace software,/case-studies,394,4924,0.0446,12.7,US
how to marketplace software,/pricing,901,2117,0.0997,43.2,US
how to marketplace software,/,702,18262,0.0169,5.4,US
buy marketplace services,/,146,31605,0.0456,33.6,US
how to marketplace software,/case-studies,296,44728,0.0936,5.1,US
buy marketplace tools,/case-studies,720,30343,0.0091,43.2,US
best marketplace services,/case-studies,634,21368,0.052,31.2,US
compare marketplace services,/case-studies,491,24733,0.0143,9.5,US
top marketplace tools,/product,971,6311,0.0789,6.5,US
best marketplace tools,/product,446,29073,0.0492,37.8,UK
buy marketplace solution,/,117,34531,0.0887,9.3,UK
best marketplace services,/blog/guide,823,27539,0.0822,26.6,UK
buy marketplace solution,/case-studies,213,17370,0.0987,6.2,US
top marketplace tools,/case-studies,822,31061,0.032,31.0,US
compare marketplace software,/product,1087,39600,0.0508,23.0,UK
how to marketplace software,/blog/guide,1178,3987,0.0944,13.9,UK
buy marketplace software,/product,990,13413,0.1073,12.4,UK
best marketplace software,/pricing,194,9444,0.1143,5.0,UK
how to marketplace services,/,911,38570,0.0097,26.9,IN
compare marketplace software,/case-studies,451,20887,0.001,32.2,US
buy marketplace solution,/blog/guide,78,44912,0.0104,3.1,US
how to marketplace services,/case-studies,853,1108,0.019,40.8,UK
how to marketplace solution,/product,1023,3257,0.0573,38.6,IN
top marketplace solution,/,1090,3987,0.116,33.8,US
buy marketplace services,/product,762,18009,0.0079,18.1,US
buy marketplace solution,/blog/guide,368,10438,0.0648,35.9,US
how to marketplace solution,/product,680,35825,0.0732,36.9,UK
buy marketplace tools,/case-studies,731,36644,0.1051,38.5,US
best marketplace services,/,287,31795,0.1189,35.8,UK
top marketplace software,/product,1179,32939,0.0463,7.5,US
top marketplace software,/,732,24799,0.0126,4.2,US
compare marketplace software,/pricing,7,37519,0.0587,22.7,IN
top marketplace solution,/case-studies,1113,42517,0.0276,25.5,US
