payment_id,invoice_id,payment_date,currency,amount,method,status
cli_0025_pay_0001,cli_0025_inv_0001,2026-01-18,CAD,6541.84,card,settled
cli_0025_pay_0002,cli_0025_inv_0002,2026-04-03,CAD,4071.09,card,settled
cli_0025_pay_0003,cli_0025_inv_0003,2026-04-16,CAD,9561.31,paypal,settled
cli_0025_pay_0004,cli_0025_inv_0004,2026-02-10,CAD,519.51,bank_transfer,settled
cli_0025_pay_0005,cli_0025_inv_0005,2025-12-28,CAD,7122.05,card,settled
cli_0025_pay_0006,cli_0025_inv_0006,2025-12-20,CAD,4434.5,paypal,settled
cli_0025_pay_0007,cli_0025_inv_0007,2025-12-21,CAD,7092.52,upi,settled
cli_0025_pay_0008,cli_0025_inv_0008,2026-03-29,CAD,1504.31,paypal,settled
cli_0025_pay_0009,cli_0025_inv_0009,2026-04-04,CAD,3066.87,upi,settled
cli_0025_pay_0010,cli_0025_inv_0010,2026-02-08,CAD,4785.3,card,settled
cli_0025_pay_0011,cli_0025_inv_0011,2026-04-16,CAD,441.04,bank_transfer,settled
cli_0025_pay_0012,cli_0025_inv_0012,2026-01-31,CAD,3949.01,card,settled
cli_0025_pay_0014,cli_0025_inv_0014,2026-01-07,CAD,5005.86,paypal,settled
cli_0025_pay_0015,cli_0025_inv_0015,2025-12-26,CAD,4494.35,upi,settled
cli_0025_pay_0017,cli_0025_inv_0017,2026-03-07,CAD,9377.52,paypal,settled
cli_0025_pay_0018,cli_0025_inv_0018,2026-04-07,CAD,955.9,bank_transfer,settled
cli_0025_pay_0020,cli_0025_inv_0020,2025-12-27,CAD,4580.21,paypal,settled
cli_0025_pay_0021,cli_0025_inv_0021,2026-04-02,CAD,11832.11,paypal,settled
cli_0025_pay_0022,cli_0025_inv_0022,2025-12-07,CAD,7235.25,upi,settled
cli_0025_pay_0023,cli_0025_inv_0023,2026-02-17,CAD,9886.97,card,settled
cli_0025_pay_0024,cli_0025_inv_0024,2025-11-30,CAD,7669.11,paypal,settled
cli_0025_pay_0025,cli_0025_inv_0025,2026-02-12,CAD,11817.02,card,settled
cli_0025_pay_0026,cli_0025_inv_0026,2026-02-05,CAD,8711.92,paypal,settled
cli_0025_pay_0027,cli_0025_inv_0027,2026-01-21,CAD,5688.43,card,settled
cli_0025_pay_0028,cli_0025_inv_0028,2026-04-19,CAD,1601.36,card,settled
cli_0025_pay_0029,cli_0025_inv_0029,2026-01-11,CAD,3730.4,bank_transfer,settled
cli_0025_pay_0030,cli_0025_inv_0030,2025-12-28,CAD,4230.75,card,settled
cli_0025_pay_0031,cli_0025_inv_0031,2026-04-23,CAD,11624.45,paypal,settled
cli_0025_pay_0032,cli_0025_inv_0032,2026-02-02,CAD,3599.33,card,settled
cli_0025_pay_0036,cli_0025_inv_0036,2026-01-24,CAD,8164.75,card,settled
cli_0025_pay_0038,cli_0025_inv_0038,2026-01-26,CAD,5931.54,upi,settled
cli_0025_pay_0039,cli_0025_inv_0039,2026-02-14,CAD,3599.43,upi,settled
