session_id,date,user_id,source,device,country,landing_page,duration_seconds,converted
s_cli_0020_0_0,2026-02-24,9aa004ddc297,direct,desktop,Australia,/contact,434,0
s_cli_0020_0_1,2026-02-24,def49ea9cd0f,meta,desktop,Australia,/blog/guide,151,0
s_cli_0020_0_2,2026-02-24,d3b2b7d494da,referral,mobile,Australia,/blog/guide,164,0
s_cli_0020_0_3,2026-02-24,e76ab890dfb9,meta,mobile,United Kingdom,/pricing,656,0
s_cli_0020_0_4,2026-02-24,f982f2b25be2,direct,mobile,United States,/contact,856,0
s_cli_0020_0_5,2026-02-24,bcee4ce1a27a,organic,desktop,United States,/contact,969,1
s_cli_0020_0_6,2026-02-24,b78467686249,meta,tablet,United Kingdom,/blog/guide,1760,0
s_cli_0020_0_7,2026-02-24,f3c9372f242a,organic,mobile,Canada,/pricing,433,0
s_cli_0020_0_8,2026-02-24,57c92e191f06,google,tablet,United States,/product,927,1
s_cli_0020_0_9,2026-02-24,fde0ee807984,google,desktop,Australia,/,1741,1
s_cli_0020_0_10,2026-02-24,ae1bb5af813d,direct,desktop,United States,/pricing,752,0
s_cli_0020_0_11,2026-02-24,277348a9eec6,direct,mobile,Canada,/contact,79,0
s_cli_0020_0_12,2026-02-24,9f87ea6d4306,meta,mobile,UAE,/product,1253,0
s_cli_0020_0_13,2026-02-24,adc948e123c5,direct,mobile,United States,/,1347,1
s_cli_0020_0_14,2026-02-24,4ff84bd816af,direct,desktop,United States,/,792,0
s_cli_0020_0_15,2026-02-24,e425674a3d0b,google,desktop,India,/blog/guide,1281,1
s_cli_0020_0_16,2026-02-24,311915151553,organic,tablet,United Kingdom,/blog/guide,1104,1
s_cli_0020_0_17,2026-02-24,eecc96ef56af,meta,desktop,India,/blog/guide,1366,1
s_cli_0020_0_18,2026-02-24,3e3a46aa86fe,meta,mobile,Canada,/pricing,398,0
s_cli_0020_0_19,2026-02-24,42bc6d107a9a,direct,desktop,United Kingdom,/blog/guide,1135,0
s_cli_0020_0_20,2026-02-24,5494a04e3a1a,organic,mobile,Australia,/product,589,0
s_cli_0020_0_21,2026-02-24,712aa60acf1c,direct,desktop,United States,/pricing,1437,0
s_cli_0020_0_22,2026-02-24,d82adf46afd2,referral,mobile,India,/,1554,0
s_cli_0020_0_23,2026-02-24,81f874fd39c3,google,desktop,Canada,/product,866,1
s_cli_0020_0_24,2026-02-24,7ba566aa1e85,direct,mobile,India,/product,1214,1
s_cli_0020_0_25,2026-02-24,d5e04191441f,meta,desktop,United Kingdom,/product,203,0
s_cli_0020_0_26,2026-02-24,b4b46a626908,google,desktop,India,/contact,946,0
s_cli_0020_0_27,2026-02-24,2f0f7c81d78e,organic,desktop,India,/product,1207,1
s_cli_0020_0_28,2026-02-24,957b33b293b7,google,desktop,United States,/,1105,0
s_cli_0020_0_29,2026-02-24,1a3f40a25db5,direct,mobile,Canada,/blog/guide,931,0
s_cli_0020_0_30,2026-02-24,a8129652922e,meta,desktop,India,/contact,1731,0
s_cli_0020_0_31,2026-02-24,e18b46fbbd19,google,tablet,India,/contact,1800,1
s_cli_0020_0_32,2026-02-24,8a0fc55f970e,direct,mobile,Australia,/pricing,249,0
s_cli_0020_0_33,2026-02-24,0f8b6b8403b5,google,desktop,Australia,/contact,1174,0
s_cli_0020_0_34,2026-02-24,1c386fbd4672,direct,tablet,UAE,/contact,1568,0
s_cli_0020_0_35,2026-02-24,c965f77a5b71,referral,mobile,United States,/blog/guide,685,1
s_cli_0020_0_36,2026-02-24,efdb0e017a8c,meta,mobile,UAE,/pricing,1354,1
s_cli_0020_0_37,2026-02-24,3613f0b534e1,google,mobile,United States,/blog/guide,362,0
s_cli_0020_0_38,2026-02-24,15460290254b,google,tablet,Canada,/blog/guide,990,1
s_cli_0020_0_39,2026-02-24,6830d6581219,google,mobile,Canada,/,1355,0
s_cli_0020_0_40,2026-02-24,8f032cf7cca8,referral,desktop,United States,/pricing,1339,1
s_cli_0020_0_41,2026-02-24,b0fc52825cf8,meta,desktop,India,/pricing,741,0
s_cli_0020_0_42,2026-02-24,ee027687d1c0,direct,mobile,United Kingdom,/pricing,858,0
s_cli_0020_0_43,2026-02-24,54a50cbc3dcd,google,mobile,UAE,/contact,1437,0
s_cli_0020_0_44,2026-02-24,c70668ad7c11,organic,mobile,Australia,/pricing,1748,0
s_cli_0020_0_45,2026-02-24,9f9ed259d93e,meta,mobile,United Kingdom,/contact,1220,1
s_cli_0020_0_46,2026-02-24,06a46b0bf781,google,mobile,United States,/product,1713,1
s_cli_0020_0_47,2026-02-24,012877fb9951,google,mobile,UAE,/blog/guide,1774,0
s_cli_0020_0_48,2026-02-24,db1a56cacd44,meta,tablet,Australia,/pricing,1590,1
s_cli_0020_0_49,2026-02-24,97078ad217ed,google,tablet,Canada,/product,1788,1
s_cli_0020_0_50,2026-02-24,849b4a18334d,referral,desktop,UAE,/product,245,1
s_cli_0020_0_51,2026-02-24,c574215dcf6c,google,mobile,Canada,/product,1230,1
s_cli_0020_0_52,2026-02-24,0a7e3c4fe1aa,google,mobile,Canada,/contact,1757,1
s_cli_0020_0_53,2026-02-24,d22e9de17e7d,meta,tablet,UAE,/,514,1
s_cli_0020_0_54,2026-02-24,7f6aa5935370,meta,mobile,UAE,/contact,1696,0
