query,page,clicks,impressions,ctr,avg_position,country
top local_services solution,/product,1066,49301,0.0967,28.1,IN
buy local_services software,/case-studies,82,7650,0.0144,23.4,UAE
buy local_services solution,/product,1193,13042,0.0158,39.7,UK
buy local_services services,/product,194,10315,0.0324,11.9,UK
top local_services solution,/case-studies,885,41074,0.0829,32.8,IN
best local_services services,/,308,22639,0.0847,25.4,UK
best local_services tools,/case-studies,359,49005,0.0701,14.5,UK
buy local_services solution,/,711,6296,0.0436,20.2,UK
buy local_services software,/pricing,531,25217,0.0526,8.9,UK
best local_services services,/pricing,372,38187,0.012,7.4,IN
buy local_services software,/case-studies,1049,6995,0.118,32.3,UK
top local_services services,/case-studies,234,31454,0.012,9.7,IN
best local_services solution,/case-studies,23,42704,0.003,33.7,IN
how to local_services tools,/,700,9490,0.0239,27.0,UAE
how to local_services tools,/pricing,267,14591,0.0201,26.9,US
best local_services tools,/product,973,47070,0.0246,1.9,IN
compare local_services software,/pricing,681,32938,0.04,2.5,UK
buy local_services services,/,1082,47626,0.0681,44.2,UAE
top local_services software,/blog/guide,463,39743,0.0977,32.4,US
best local_services solution,/blog/guide,510,9176,0.0459,36.6,UAE
top local_services solution,/product,358,7102,0.102,8.7,IN
best local_services solution,/product,1138,25232,0.0227,44.7,UAE
how to local_services services,/case-studies,120,4132,0.0084,37.2,US
best local_services solution,/case-studies,155,11417,0.0662,30.4,IN
how to local_services solution,/product,1073,16436,0.0559,8.6,UAE
how to local_services solution,/product,335,44604,0.0174,15.3,IN
how to local_services tools,/pricing,209,9132,0.0066,40.8,US
buy local_services tools,/product,557,36152,0.0565,10.7,IN
buy local_services solution,/product,983,4739,0.0782,26.8,UK
top local_services tools,/case-studies,280,36101,0.1038,44.7,IN
compare local_services software,/product,270,41485,0.0988,37.4,US
best local_services tools,/pricing,763,4444,0.044,25.8,US
top local_services software,/case-studies,936,47159,0.0634,31.9,US
best local_services services,/blog/guide,368,43355,0.087,18.8,UK
compare local_services software,/product,646,41776,0.0919,32.4,UAE
how to local_services solution,/case-studies,91,22076,0.0486,8.8,UAE
compare local_services services,/case-studies,967,9538,0.0853,10.6,UAE
buy local_services services,/case-studies,1063,35792,0.0636,19.6,IN
compare local_services tools,/blog/guide,3,29516,0.0622,10.0,UAE
top local_services services,/case-studies,151,1539,0.0819,22.5,UK
