query,page,clicks,impressions,ctr,avg_position,country
top d2c solution,/case-studies,1111,6324,0.1069,17.4,IN
compare d2c software,/pricing,795,34118,0.0503,31.8,US
best d2c software,/blog/guide,580,16455,0.0595,18.3,CA
top d2c software,/pricing,1098,20824,0.017,18.0,IN
how to d2c tools,/,259,6201,0.0657,4.1,UK
buy d2c software,/,310,37064,0.0055,38.8,CA
how to d2c solution,/product,70,36881,0.0539,29.6,IN
top d2c solution,/,572,1337,0.046,31.4,UK
best d2c services,/product,683,28053,0.0723,33.1,CA
best d2c software,/product,225,49913,0.0645,5.4,IN
best d2c tools,/pricing,393,24431,0.0367,22.6,US
top d2c solution,/,790,44941,0.0728,25.7,UK
buy d2c services,/product,1178,12050,0.1123,4.4,CA
top d2c solution,/blog/guide,656,45180,0.095,36.4,UK
buy d2c services,/case-studies,1052,35533,0.0715,42.8,UK
how to d2c services,/case-studies,376,46532,0.0999,24.3,UK
how to d2c tools,/pricing,95,21158,0.0325,34.8,UK
how to d2c software,/product,352,3112,0.0184,19.9,US
how to d2c software,/product,517,44143,0.0641,24.1,IN
buy d2c tools,/blog/guide,170,15524,0.0355,35.9,IN
how to d2c software,/case-studies,185,33516,0.0389,33.5,IN
buy d2c solution,/blog/guide,956,19359,0.0377,17.6,US
best d2c software,/case-studies,137,44945,0.1044,19.5,UK
buy d2c tools,/pricing,232,26055,0.0665,4.6,UK
buy d2c services,/,631,641,0.0712,29.1,IN
best d2c solution,/product,853,24832,0.0327,28.4,US
how to d2c solution,/blog/guide,995,25607,0.107,9.4,CA
top d2c tools,/pricing,245,11852,0.0731,41.2,UK
best d2c services,/pricing,322,18727,0.1075,43.4,IN
best d2c services,/blog/guide,768,23211,0.0576,22.5,UK
best d2c tools,/,380,1395,0.0953,41.3,IN
compare d2c software,/blog/guide,648,17086,0.0187,10.8,CA
best d2c solution,/case-studies,434,15051,0.0234,32.8,UK
compare d2c software,/case-studies,1134,4049,0.0936,17.8,US
buy d2c software,/pricing,676,36905,0.0207,23.2,CA
best d2c solution,/blog/guide,206,7733,0.0063,37.7,CA
compare d2c services,/blog/guide,1082,4706,0.1108,19.1,UK
buy d2c tools,/product,868,33148,0.1119,20.2,UK
top d2c software,/case-studies,767,13772,0.0526,43.6,IN
best d2c services,/product,676,35456,0.0286,32.0,IN
