query,page,clicks,impressions,ctr,avg_position,country
best ecommerce solution,/product,649,33529,0.107,42.4,IN
top ecommerce software,/,741,21077,0.0804,35.1,US
best ecommerce solution,/case-studies,973,39742,0.0669,41.8,UK
how to ecommerce solution,/case-studies,1183,14154,0.017,32.9,IN
compare ecommerce services,/pricing,1136,23027,0.0849,43.7,UK
how to ecommerce tools,/product,832,27072,0.0785,33.4,US
compare ecommerce services,/product,907,11438,0.1001,36.2,UK
top ecommerce solution,/blog/guide,512,33203,0.0611,13.6,US
best ecommerce solution,/pricing,393,33566,0.1118,8.1,US
buy ecommerce services,/case-studies,226,29724,0.1187,12.5,UK
best ecommerce solution,/product,740,49682,0.0656,29.3,UK
top ecommerce tools,/pricing,1104,49246,0.0225,22.2,UK
top ecommerce software,/blog/guide,366,43398,0.0203,30.8,IN
buy ecommerce solution,/case-studies,287,9413,0.0759,10.7,IN
buy ecommerce solution,/product,684,10625,0.071,42.5,US
top ecommerce services,/blog/guide,797,349,0.0412,13.8,UK
how to ecommerce tools,/,672,32165,0.0612,21.6,UK
best ecommerce services,/,134,25046,0.0634,28.1,UK
compare ecommerce solution,/case-studies,158,30652,0.0929,4.1,US
buy ecommerce software,/product,134,45060,0.0136,42.8,US
compare ecommerce software,/pricing,342,1042,0.0116,34.1,US
best ecommerce services,/pricing,1107,44997,0.076,16.2,UK
top ecommerce software,/product,694,44966,0.0246,24.5,US
best ecommerce solution,/blog/guide,560,7658,0.0575,44.5,IN
best ecommerce tools,/case-studies,844,48765,0.0554,15.0,UK
best ecommerce tools,/,766,6718,0.0612,14.2,US
how to ecommerce software,/pricing,302,25043,0.1132,9.8,UK
top ecommerce tools,/blog/guide,964,49953,0.0793,8.1,US
compare ecommerce services,/product,820,10464,0.0985,6.1,US
compare ecommerce services,/blog/guide,307,6063,0.0653,25.5,UK
top ecommerce services,/pricing,61,16909,0.0931,23.1,IN
how to ecommerce tools,/product,751,29014,0.064,8.2,IN
best ecommerce software,/,156,26917,0.0953,39.7,US
how to ecommerce solution,/blog/guide,1196,46093,0.1006,28.4,UK
top ecommerce tools,/case-studies,781,42323,0.0438,20.4,IN
best ecommerce software,/case-studies,696,13575,0.0514,4.2,UK
best ecommerce solution,/pricing,388,43593,0.0988,12.3,UK
buy ecommerce services,/product,783,41861,0.0844,30.0,UK
best ecommerce software,/pricing,44,11142,0.0043,28.8,US
compare ecommerce solution,/blog/guide,1196,31344,0.1132,20.0,US
