session_id,date,user_id,source,device,country,landing_page,duration_seconds,converted
s_cli_0009_0_0,2026-02-24,54bc7aac5c14,organic,tablet,Australia,/,954,0
s_cli_0009_0_1,2026-02-24,fff549985f89,organic,desktop,United Kingdom,/pricing,209,1
s_cli_0009_0_2,2026-02-24,522c0af589d0,meta,tablet,United Kingdom,/,1048,1
s_cli_0009_0_3,2026-02-24,542850a94219,meta,desktop,United States,/product,1025,1
s_cli_0009_0_4,2026-02-24,2be15bd3a084,organic,tablet,UAE,/product,154,0
s_cli_0009_0_5,2026-02-24,e409c4b5e9dd,google,desktop,India,/blog/guide,21,1
s_cli_0009_0_6,2026-02-24,2a99bf07a928,direct,desktop,United States,/product,1783,0
s_cli_0009_0_7,2026-02-24,ecb64700b851,organic,mobile,UAE,/blog/guide,1271,0
s_cli_0009_0_8,2026-02-24,53abb15dd353,meta,tablet,UAE,/contact,697,0
s_cli_0009_0_9,2026-02-24,c732bbb19e70,google,mobile,United States,/blog/guide,1042,0
s_cli_0009_0_10,2026-02-24,d4ab817a4e05,direct,mobile,India,/,202,0
s_cli_0009_0_11,2026-02-24,591f491a41e9,google,mobile,India,/,1276,0
s_cli_0009_0_12,2026-02-24,d4aad44a173e,google,mobile,United Kingdom,/,1726,1
s_cli_0009_0_13,2026-02-24,07c6194a3ce9,google,mobile,Australia,/product,71,1
s_cli_0009_0_14,2026-02-24,cebcda31872d,meta,desktop,Canada,/product,1167,0
s_cli_0009_0_15,2026-02-24,9b97d4fb7afd,meta,desktop,United Kingdom,/pricing,1666,0
s_cli_0009_0_16,2026-02-24,e6e1676339f1,meta,tablet,United Kingdom,/,112,0
s_cli_0009_0_17,2026-02-24,9ad31999c6f9,google,desktop,United States,/product,992,0
s_cli_0009_0_18,2026-02-24,92cf37f1f575,google,tablet,Australia,/,961,1
s_cli_0009_0_19,2026-02-24,4cf7a0e7a6e4,meta,desktop,UAE,/contact,323,0
s_cli_0009_0_20,2026-02-24,42eba825d3a3,direct,mobile,Canada,/product,97,1
