query,page,clicks,impressions,ctr,avg_position,country
compare d2c software,/,527,42366,0.0334,34.0,IN
buy d2c tools,/blog/guide,83,43807,0.1104,19.8,US
top d2c services,/product,906,15164,0.097,4.0,UK
how to d2c tools,/,386,38051,0.0398,34.0,IN
buy d2c software,/product,759,22090,0.0394,26.8,IN
buy d2c services,/blog/guide,0,5626,0.0368,37.2,IN
compare d2c services,/pricing,133,22502,0.0048,14.3,IN
compare d2c services,/,138,18149,0.0041,35.3,US
top d2c services,/pricing,596,8532,0.0277,5.5,UK
top d2c services,/pricing,473,16709,0.0693,30.9,UK
top d2c services,/product,651,3164,0.0388,7.6,US
best d2c services,/,1104,42647,0.1033,7.2,IN
how to d2c software,/,644,2578,0.0423,16.5,US
how to d2c tools,/,245,30749,0.0108,24.6,IN
best d2c software,/,1197,12321,0.1185,11.5,IN
top d2c services,/blog/guide,792,16183,0.0586,14.6,UK
top d2c services,/product,568,19139,0.0495,44.4,IN
compare d2c tools,/case-studies,972,7932,0.0987,15.9,IN
best d2c solution,/case-studies,729,24174,0.0847,32.1,IN
compare d2c solution,/case-studies,989,37693,0.0792,18.5,US
how to d2c tools,/blog/guide,858,33742,0.026,25.5,US
buy d2c tools,/case-studies,616,41404,0.1008,9.6,UK
buy d2c services,/pricing,1059,1358,0.023,8.9,US
how to d2c tools,/case-studies,1166,34523,0.0663,9.2,US
compare d2c tools,/pricing,597,17970,0.1151,17.7,IN
top d2c software,/pricing,563,29089,0.0562,28.0,IN
top d2c tools,/blog/guide,622,2769,0.0136,18.0,IN
top d2c software,/pricing,326,5931,0.0346,43.6,UK
best d2c services,/product,1079,10406,0.0694,34.9,IN
top d2c solution,/pricing,1119,412,0.0885,41.9,US
top d2c services,/blog/guide,618,4977,0.0426,9.4,UK
best d2c software,/product,1162,14223,0.0033,9.1,US
best d2c services,/case-studies,8,43696,0.0644,26.1,IN
compare d2c tools,/product,495,7758,0.087,42.8,IN
buy d2c solution,/pricing,569,18907,0.0881,32.1,IN
best d2c software,/case-studies,14,17612,0.067,1.4,UK
buy d2c services,/pricing,762,8890,0.0527,37.4,IN
compare d2c tools,/pricing,476,15776,0.0212,34.9,UK
how to d2c tools,/case-studies,38,26972,0.057,24.4,US
best d2c solution,/case-studies,471,18210,0.0949,11.0,IN
