refund_id,order_id,refund_date,reason,amount
cli_0020_rf_00001,cli_0020_ord_00001,2026-01-09,shipping_delay,82.86
cli_0020_rf_00013,cli_0020_ord_00013,2026-01-04,product_issue,238.93
cli_0020_rf_00026,cli_0020_ord_00026,2026-01-28,customer_request,2103.4
cli_0020_rf_00031,cli_0020_ord_00031,2026-01-29,product_issue,484.21
cli_0020_rf_00045,cli_0020_ord_00045,2026-04-10,duplicate_charge,1822.31
cli_0020_rf_00069,cli_0020_ord_00069,2026-04-13,product_issue,490.4
cli_0020_rf_00080,cli_0020_ord_00080,2026-02-21,shipping_delay,260.78
cli_0020_rf_00093,cli_0020_ord_00093,2026-01-14,product_issue,582.78
cli_0020_rf_00101,cli_0020_ord_00101,2026-02-18,duplicate_charge,1272.82
cli_0020_rf_00110,cli_0020_ord_00110,2026-02-10,other,1165.15
cli_0020_rf_00111,cli_0020_ord_00111,2026-02-04,other,1825.45
cli_0020_rf_00117,cli_0020_ord_00117,2026-02-24,duplicate_charge,1649.97
cli_0020_rf_00136,cli_0020_ord_00136,2026-04-19,duplicate_charge,1110.09
cli_0020_rf_00162,cli_0020_ord_00162,2026-03-13,product_issue,1726.68
cli_0020_rf_00170,cli_0020_ord_00170,2026-02-10,product_issue,1026.61
cli_0020_rf_00172,cli_0020_ord_00172,2026-04-18,customer_request,205.16
cli_0020_rf_00177,cli_0020_ord_00177,2026-02-07,product_issue,344.47
cli_0020_rf_00181,cli_0020_ord_00181,2026-01-16,shipping_delay,2095.87
cli_0020_rf_00186,cli_0020_ord_00186,2026-03-06,product_issue,2005.03
cli_0020_rf_00205,cli_0020_ord_00205,2026-02-13,shipping_delay,1363.75
