query,page,clicks,impressions,ctr,avg_position,country
how to education solution,/pricing,783,12577,0.0056,12.7,UK
how to education tools,/product,32,15474,0.0689,13.5,UK
buy education solution,/product,742,34301,0.0297,40.2,UK
compare education software,/,342,3645,0.0715,15.1,UK
top education solution,/,1194,16774,0.0263,28.1,UK
buy education services,/,155,19136,0.0837,29.8,UK
best education services,/,1074,4150,0.0309,34.0,IN
compare education solution,/pricing,3,14244,0.0054,39.5,US
best education solution,/,301,22199,0.0885,11.8,IN
how to education tools,/pricing,1080,6855,0.0204,32.9,US
how to education tools,/case-studies,874,41854,0.0045,1.8,UK
compare education solution,/blog/guide,241,42194,0.041,17.3,US
how to education software,/pricing,1086,45624,0.0015,33.6,UK
how to education solution,/product,757,5772,0.0634,30.1,IN
best education software,/case-studies,141,17429,0.0076,20.8,EU
buy education software,/product,629,33087,0.0021,44.0,US
best education software,/blog/guide,89,1151,0.1029,41.6,UK
compare education tools,/product,548,49826,0.078,1.1,UK
best education services,/,919,10783,0.117,8.7,UK
best education tools,/case-studies,772,3722,0.0998,31.5,US
buy education software,/case-studies,258,38094,0.0804,20.1,UK
compare education services,/pricing,794,25498,0.0976,41.9,EU
buy education tools,/product,711,6644,0.0081,4.7,UK
top education software,/product,59,26623,0.0363,40.9,EU
how to education solution,/blog/guide,277,5129,0.0524,44.8,US
buy education services,/pricing,1116,42093,0.0093,17.4,UK
how to education solution,/product,207,41344,0.1195,42.4,IN
top education software,/,882,372,0.099,5.5,UK
compare education software,/pricing,1083,3001,0.1092,43.7,EU
top education software,/blog/guide,544,42977,0.0832,40.4,US
top education services,/,1020,4213,0.0836,32.8,US
top education solution,/pricing,854,25442,0.0939,34.2,IN
how to education services,/case-studies,1034,21601,0.1048,15.4,UK
top education solution,/blog/guide,208,21424,0.0371,39.3,US
buy education services,/,674,42762,0.1043,13.1,EU
best education solution,/blog/guide,14,25140,0.1092,40.4,US
top education services,/,903,14157,0.0162,5.8,UK
best education software,/product,470,20057,0.0885,12.4,US
buy education solution,/pricing,1084,11184,0.1024,44.6,IN
compare education tools,/product,136,27075,0.058,6.3,UK
