session_id,date,user_id,source,device,country,landing_page,duration_seconds,converted
s_cli_0016_0_0,2026-02-24,8065dae31d04,direct,mobile,United States,/pricing,1561,0
s_cli_0016_0_1,2026-02-24,f0777e3e17ec,google,desktop,United States,/product,910,0
s_cli_0016_0_2,2026-02-24,73021da33a92,google,tablet,Canada,/,918,0
s_cli_0016_0_3,2026-02-24,93c2abfee3ec,meta,desktop,India,/blog/guide,1655,1
s_cli_0016_0_4,2026-02-24,1e5373911572,direct,mobile,United Kingdom,/blog/guide,1304,0
s_cli_0016_0_5,2026-02-24,476903201d6d,meta,desktop,United States,/product,842,0
s_cli_0016_0_6,2026-02-24,bc9590c94218,organic,mobile,Canada,/pricing,964,0
s_cli_0016_0_7,2026-02-24,1ff24049bf7a,referral,mobile,UAE,/product,1017,0
s_cli_0016_0_8,2026-02-24,616382f403de,organic,desktop,Australia,/,243,1
s_cli_0016_0_9,2026-02-24,06ef1a343e4b,meta,mobile,UAE,/contact,420,0
s_cli_0016_0_10,2026-02-24,dd650385ac3f,meta,mobile,United States,/product,1482,0
s_cli_0016_0_11,2026-02-24,2e9883f557ec,organic,desktop,United States,/contact,1445,0
s_cli_0016_0_12,2026-02-24,4e6a754946ee,google,desktop,Australia,/product,39,0
s_cli_0016_0_13,2026-02-24,7254b8a5336c,google,mobile,United Kingdom,/contact,28,0
s_cli_0016_0_14,2026-02-24,d93c6a8ed04d,meta,mobile,Canada,/contact,443,0
s_cli_0016_0_15,2026-02-24,a8b730c9bcf5,organic,mobile,UAE,/,334,0
s_cli_0016_0_16,2026-02-24,6421218fc9a0,meta,mobile,UAE,/,724,0
s_cli_0016_0_17,2026-02-24,0d68a8ad33f1,organic,tablet,United States,/,169,0
s_cli_0016_0_18,2026-02-24,69c00583b3af,meta,mobile,Canada,/product,704,0
s_cli_0016_0_19,2026-02-24,096196a26701,organic,mobile,Australia,/blog/guide,288,0
s_cli_0016_0_20,2026-02-24,bdd9ae4a44d9,organic,mobile,Australia,/,1020,0
s_cli_0016_0_21,2026-02-24,fc7e006dbd5d,organic,mobile,India,/blog/guide,1475,1
s_cli_0016_0_22,2026-02-24,cb5e87da4352,meta,desktop,UAE,/blog/guide,1260,1
s_cli_0016_0_23,2026-02-24,470320525e18,organic,desktop,Australia,/product,1204,0
