session_id,date,user_id,source,device,country,landing_page,duration_seconds,converted
s_cli_0010_0_0,2026-02-24,128d7f61c3f9,google,desktop,Australia,/pricing,1045,0
s_cli_0010_0_1,2026-02-24,00e2e7bbbe22,organic,desktop,Canada,/product,873,1
s_cli_0010_0_2,2026-02-24,583efe40d569,organic,desktop,United Kingdom,/product,240,0
s_cli_0010_0_3,2026-02-24,f9ee9ce5419b,meta,desktop,United Kingdom,/contact,1397,0
s_cli_0010_0_4,2026-02-24,2c7f7f70bd1b,meta,mobile,Australia,/,1491,1
s_cli_0010_0_5,2026-02-24,e67777980e7f,meta,mobile,UAE,/blog/guide,596,1
s_cli_0010_0_6,2026-02-24,6d71ac14168d,referral,mobile,UAE,/pricing,301,1
s_cli_0010_0_7,2026-02-24,b46814c4eb24,google,mobile,UAE,/pricing,556,1
s_cli_0010_0_8,2026-02-24,f0928f61b8d9,meta,tablet,Canada,/,574,0
s_cli_0010_0_9,2026-02-24,c7207e2e379a,referral,desktop,India,/blog/guide,1145,0
s_cli_0010_0_10,2026-02-24,212e923b5cbb,google,desktop,Canada,/pricing,1196,0
s_cli_0010_0_11,2026-02-24,c2a167c99f0d,organic,desktop,Canada,/product,164,0
s_cli_0010_0_12,2026-02-24,74ec07a70abb,direct,mobile,UAE,/contact,829,1
s_cli_0010_0_13,2026-02-24,ffd8ebd58fd5,referral,mobile,Canada,/,652,1
s_cli_0010_0_14,2026-02-24,7db27870ecf8,meta,mobile,UAE,/product,1117,1
s_cli_0010_0_15,2026-02-24,af8ceab12cc7,meta,mobile,Australia,/product,500,0
s_cli_0010_0_16,2026-02-24,80bfff3488a3,direct,mobile,India,/blog/guide,56,0
s_cli_0010_0_17,2026-02-24,e860a215d71a,google,mobile,Canada,/pricing,1515,1
s_cli_0010_0_18,2026-02-24,ed7ddd0c9f3f,organic,desktop,UAE,/product,355,0
s_cli_0010_0_19,2026-02-24,aa45c66bd95e,direct,mobile,United States,/blog/guide,602,0
s_cli_0010_0_20,2026-02-24,9987446e1a91,direct,tablet,India,/contact,1000,0
s_cli_0010_0_21,2026-02-24,fca77faa79c5,meta,mobile,Australia,/product,560,0
s_cli_0010_0_22,2026-02-24,5cd022557a8b,meta,mobile,Australia,/contact,46,0
s_cli_0010_0_23,2026-02-24,370a15c1a470,google,mobile,United States,/blog/guide,1774,0
s_cli_0010_0_24,2026-02-24,7cafc202e8d0,meta,desktop,Australia,/contact,1765,0
s_cli_0010_0_25,2026-02-24,65166ccc3b30,meta,mobile,United Kingdom,/contact,885,0
s_cli_0010_0_26,2026-02-24,44d1fe97fb46,organic,desktop,Canada,/pricing,1799,0
s_cli_0010_0_27,2026-02-24,680921b70307,referral,mobile,Canada,/pricing,1239,0
s_cli_0010_0_28,2026-02-24,e1a9577460b5,meta,desktop,United Kingdom,/pricing,1623,0
s_cli_0010_0_29,2026-02-24,cb2990d62fe8,organic,mobile,Canada,/blog/guide,1196,0
s_cli_0010_0_30,2026-02-24,d56d1cbb0b42,organic,mobile,India,/pricing,381,0
s_cli_0010_0_31,2026-02-24,a124df1a07ca,meta,mobile,India,/contact,1751,0
s_cli_0010_0_32,2026-02-24,76b03343445c,meta,tablet,UAE,/contact,238,0
s_cli_0010_0_33,2026-02-24,5335dd7c8a3f,organic,mobile,United States,/contact,1467,0
s_cli_0010_0_34,2026-02-24,0f67890ee2fe,organic,mobile,United States,/pricing,577,0
s_cli_0010_0_35,2026-02-24,6758d764389d,organic,mobile,United Kingdom,/product,31,0
s_cli_0010_0_36,2026-02-24,7d3258ec051f,direct,mobile,UAE,/,868,0
s_cli_0010_0_37,2026-02-24,e570aa953802,google,tablet,UAE,/,413,0
s_cli_0010_0_38,2026-02-24,1d7ed2b24442,google,desktop,Australia,/pricing,1416,1
s_cli_0010_0_39,2026-02-24,7bc669832dd5,google,desktop,UAE,/blog/guide,1329,0
s_cli_0010_0_40,2026-02-24,c59ab60ab086,organic,tablet,Australia,/,155,0
s_cli_0010_0_41,2026-02-24,e76e7a5e13eb,google,tablet,United Kingdom,/pricing,869,0
s_cli_0010_0_42,2026-02-24,8abf90a21de8,organic,desktop,UAE,/pricing,639,0
s_cli_0010_0_43,2026-02-24,e97de6e1a3d8,referral,mobile,Canada,/contact,390,0
s_cli_0010_0_44,2026-02-24,21cf15e7e4bb,referral,mobile,India,/blog/guide,670,1
s_cli_0010_0_45,2026-02-24,4a905203a74d,google,mobile,Australia,/blog/guide,712,1
s_cli_0010_0_46,2026-02-24,86f065945854,meta,mobile,United States,/product,534,1
s_cli_0010_0_47,2026-02-24,adf24d7ae074,organic,desktop,India,/contact,1529,0
s_cli_0010_0_48,2026-02-24,e75081fca660,google,mobile,Australia,/pricing,1128,1
s_cli_0010_0_49,2026-02-24,ce6cc9ab8457,google,desktop,United States,/,877,0
s_cli_0010_0_50,2026-02-24,9247b2c75a40,google,tablet,Australia,/product,1409,0
s_cli_0010_0_51,2026-02-24,733270e05fcd,organic,mobile,UAE,/product,1716,0
s_cli_0010_0_52,2026-02-24,3e8e39b02499,meta,tablet,United States,/,1596,1
s_cli_0010_0_53,2026-02-24,39f2e278b9a3,organic,tablet,India,/contact,1631,0
s_cli_0010_0_54,2026-02-24,9c049606497c,organic,desktop,India,/contact,111,0
s_cli_0010_0_55,2026-02-24,94ea28a6fae9,google,mobile,UAE,/product,737,0
s_cli_0010_0_56,2026-02-24,1bf7a956dbb9,referral,mobile,India,/pricing,1395,0
s_cli_0010_0_57,2026-02-24,12ceaf7656aa,meta,tablet,United Kingdom,/pricing,271,1
s_cli_0010_0_58,2026-02-24,b11b4a8c2254,organic,mobile,United Kingdom,/,393,0
s_cli_0010_0_59,2026-02-24,84f292cdf067,google,mobile,Canada,/contact,545,0
s_cli_0010_0_60,2026-02-24,4616256ad913,organic,desktop,Canada,/pricing,489,0
s_cli_0010_0_61,2026-02-24,0a6e07c0542e,organic,mobile,United States,/,522,0
s_cli_0010_0_62,2026-02-24,201ccbbf2191,meta,mobile,India,/,1091,0
s_cli_0010_0_63,2026-02-24,731195b1a7ff,meta,tablet,United States,/product,857,0
s_cli_0010_0_64,2026-02-24,c47c0b20deba,google,mobile,United Kingdom,/contact,1278,0
s_cli_0010_0_65,2026-02-24,0826996e5ac9,meta,mobile,Canada,/,863,0
s_cli_0010_0_66,2026-02-24,ddd7e322eb97,meta,mobile,United States,/pricing,1610,0
s_cli_0010_0_67,2026-02-24,5894a1ddf59a,meta,mobile,Australia,/contact,1321,0
s_cli_0010_0_68,2026-02-24,98b4c80817fa,organic,mobile,Canada,/contact,1411,0
s_cli_0010_0_69,2026-02-24,54ebc4018b91,google,desktop,India,/product,684,0
s_cli_0010_0_70,2026-02-24,31399935845a,meta,mobile,Canada,/product,787,0
s_cli_0010_0_71,2026-02-24,ee1a8f85ab06,direct,desktop,United Kingdom,/pricing,1330,0
s_cli_0010_0_72,2026-02-24,62d1c2bce9d1,organic,mobile,India,/pricing,460,0
s_cli_0010_0_73,2026-02-24,e18ea1c7e230,meta,desktop,Canada,/pricing,1376,1
s_cli_0010_0_74,2026-02-24,d7bd9e6a4c85,direct,desktop,UAE,/pricing,1474,1
s_cli_0010_0_75,2026-02-24,bcad0f2fa6d3,direct,mobile,United Kingdom,/blog/guide,835,0
s_cli_0010_0_76,2026-02-24,80f86e881c50,google,mobile,Australia,/pricing,730,0
s_cli_0010_0_77,2026-02-24,97a01200ca7c,organic,desktop,India,/pricing,678,0
s_cli_0010_0_78,2026-02-24,68aea248f79a,direct,mobile,Australia,/pricing,1137,0
s_cli_0010_0_79,2026-02-24,53251b2faefc,organic,mobile,United States,/pricing,644,0
s_cli_0010_0_80,2026-02-24,a84ea257ffb1,meta,desktop,India,/contact,260,0
s_cli_0010_0_81,2026-02-24,906982bc0403,meta,mobile,Australia,/contact,408,0
s_cli_0010_0_82,2026-02-24,56c3cd5ecb02,meta,mobile,India,/contact,724,0
s_cli_0010_0_83,2026-02-24,eca6b75397c9,meta,mobile,UAE,/pricing,1368,0
s_cli_0010_0_84,2026-02-24,3e2302b5c591,meta,tablet,UAE,/pricing,1197,1
s_cli_0010_0_85,2026-02-24,270d7f999f42,direct,mobile,Canada,/pricing,885,0
s_cli_0010_0_86,2026-02-24,4a34dd6cfd27,google,mobile,Canada,/pricing,1579,0
s_cli_0010_0_87,2026-02-24,8f8364f1aedc,google,mobile,United Kingdom,/blog/guide,101,0
s_cli_0010_0_88,2026-02-24,42116a3dcaa2,google,mobile,India,/blog/guide,893,0
s_cli_0010_0_89,2026-02-24,da4132c3742f,meta,desktop,Australia,/product,604,0
s_cli_0010_0_90,2026-02-24,5a3d83b7aa8e,google,tablet,UAE,/contact,1190,0
s_cli_0010_0_91,2026-02-24,e37a9c57d273,meta,mobile,Canada,/product,974,1
