order_id,created_at,customer_id,product,currency,amount,discount_pct,channel,status,payment_method
cli_0018_ord_00001,2026-04-05,0aab5c093dd5,premium bundle,EUR,1687.8,0,referral,paid,paypal
cli_0018_ord_00002,2026-03-26,34cadbde980e,annual subscription,EUR,1592.72,0,direct,paid,bank_transfer
cli_0018_ord_00003,2025-11-26,36941ef74083,pro plan,EUR,685.35,20,referral,paid,upi
cli_0018_ord_00004,2026-03-06,b4bfb2f44e83,service retainer,EUR,517.63,5,linkedin_ads,refunded,card
cli_0018_ord_00005,2026-03-18,12b287afcfa7,annual subscription,EUR,2283.61,15,google_ads,paid,upi
cli_0018_ord_00006,2026-03-07,1f7cc74be385,service retainer,EUR,669.46,15,referral,paid,wallet
cli_0018_ord_00007,2026-02-26,22adca08d8ed,premium bundle,EUR,1840.87,25,linkedin_ads,paid,bank_transfer
cli_0018_ord_00008,2026-01-10,cbde6f6943db,service retainer,EUR,92.73,10,linkedin_ads,pending,wallet
cli_0018_ord_00009,2026-04-10,0d0b4a852df8,annual subscription,EUR,2055.69,20,linkedin_ads,refunded,card
cli_0018_ord_00010,2026-04-23,d2d575a6fef2,starter plan,EUR,2335.17,20,google_ads,pending,wallet
cli_0018_ord_00011,2025-12-12,16de90cfc58d,service retainer,EUR,383.27,25,referral,paid,upi
cli_0018_ord_00012,2025-11-09,d4f287c5ef0a,starter plan,EUR,2148.01,0,linkedin_ads,paid,upi
cli_0018_ord_00013,2025-12-30,b6030056d5f8,annual subscription,EUR,2248.58,0,linkedin_ads,pending,bank_transfer
cli_0018_ord_00014,2026-01-20,621cdb98d742,annual subscription,EUR,621.13,5,linkedin_ads,paid,paypal
cli_0018_ord_00015,2025-11-12,552961b067a2,premium bundle,EUR,1576.37,10,linkedin_ads,refunded,paypal
cli_0018_ord_00016,2026-04-17,755e07452ead,service retainer,EUR,1216.49,15,google_ads,paid,upi
cli_0018_ord_00017,2026-02-08,bd8789bf9e14,starter plan,EUR,2094.18,5,referral,refunded,paypal
cli_0018_ord_00018,2026-01-29,eb768b986e89,annual subscription,EUR,257.47,10,direct,paid,upi
