query,page,clicks,impressions,ctr,avg_position,country
top marketplace services,/pricing,220,8613,0.1144,12.4,UK
buy marketplace software,/product,1178,7429,0.0184,44.9,US
compare marketplace software,/blog/guide,1003,32425,0.0904,23.9,IN
compare marketplace services,/,453,32557,0.019,6.0,UK
best marketplace tools,/,239,36918,0.1047,33.1,US
best marketplace solution,/case-studies,237,27420,0.0948,23.9,UK
how to marketplace tools,/case-studies,590,25092,0.106,3.9,US
buy marketplace software,/blog/guide,891,10346,0.0069,11.3,UK
buy marketplace software,/product,575,25899,0.0798,38.9,IN
best marketplace software,/pricing,961,28466,0.0221,36.6,UK
top marketplace software,/,578,33031,0.0086,34.1,US
how to marketplace software,/case-studies,173,25172,0.1085,39.4,IN
buy marketplace tools,/product,419,32900,0.024,1.6,US
best marketplace software,/product,893,46821,0.104,22.0,UK
top marketplace services,/product,175,49741,0.0893,27.4,IN
top marketplace tools,/case-studies,842,8733,0.0449,6.1,UK
buy marketplace tools,/blog/guide,1200,923,0.0956,11.2,US
compare marketplace software,/pricing,1107,49999,0.0769,26.7,IN
compare marketplace solution,/pricing,270,13983,0.0075,43.1,US
buy marketplace services,/blog/guide,646,43637,0.0904,6.0,US
compare marketplace software,/pricing,714,33381,0.0575,16.1,UK
how to marketplace services,/product,190,18997,0.0366,36.8,UK
how to marketplace services,/,1114,16535,0.0371,6.2,UK
top marketplace tools,/case-studies,812,16657,0.0694,8.5,US
how to marketplace tools,/pricing,522,1036,0.052,31.9,UK
buy marketplace tools,/blog/guide,306,11493,0.1188,38.1,US
top marketplace tools,/product,341,207,0.0951,43.2,US
buy marketplace software,/,925,20913,0.0466,4.3,UK
buy marketplace tools,/blog/guide,856,17694,0.0161,38.9,IN
how to marketplace solution,/,7,17812,0.0725,34.3,UK
how to marketplace tools,/blog/guide,886,39279,0.0641,26.6,IN
best marketplace services,/,584,38297,0.1059,38.2,UK
top marketplace software,/product,243,19164,0.0626,19.4,IN
top marketplace tools,/pricing,776,41573,0.1163,3.8,IN
best marketplace software,/blog/guide,539,19067,0.1023,17.4,IN
how to marketplace solution,/blog/guide,367,24496,0.0081,42.2,UK
compare marketplace tools,/product,920,28096,0.1136,23.6,US
how to marketplace tools,/,955,25979,0.0348,36.8,US
top marketplace services,/product,773,44129,0.041,20.8,IN
best marketplace software,/pricing,654,38019,0.0201,16.1,UK
