query,page,clicks,impressions,ctr,avg_position,country
best hospitality tools,/,719,10308,0.0597,14.9,IN
compare hospitality software,/,202,1919,0.0134,15.5,US
how to hospitality solution,/,978,10221,0.0178,14.9,SG
best hospitality tools,/product,97,321,0.0813,34.5,UK
best hospitality tools,/,846,3522,0.0239,21.6,IN
how to hospitality tools,/product,792,1798,0.051,4.3,IN
how to hospitality software,/product,384,3602,0.0464,39.4,IN
best hospitality solution,/blog/guide,202,4805,0.0671,17.0,US
best hospitality tools,/case-studies,520,42116,0.0551,3.6,SG
how to hospitality solution,/,423,44064,0.0264,11.4,US
buy hospitality services,/pricing,1066,28097,0.025,31.1,UK
how to hospitality solution,/pricing,120,21815,0.065,44.0,IN
best hospitality tools,/case-studies,1105,12543,0.0348,17.0,SG
how to hospitality software,/blog/guide,359,636,0.1068,41.8,IN
compare hospitality solution,/pricing,1170,42407,0.064,1.6,US
best hospitality solution,/blog/guide,1123,42325,0.0058,35.4,UK
compare hospitality tools,/case-studies,1175,21613,0.0613,22.4,SG
top hospitality tools,/case-studies,498,33206,0.065,10.3,SG
how to hospitality software,/,895,31103,0.0265,5.1,IN
top hospitality software,/blog/guide,808,18086,0.0368,22.9,UK
best hospitality solution,/blog/guide,747,23357,0.0631,18.2,UK
compare hospitality software,/,741,7430,0.0457,22.9,IN
buy hospitality solution,/case-studies,159,23443,0.0796,2.7,IN
best hospitality services,/,950,9743,0.0331,13.5,SG
top hospitality tools,/pricing,834,22544,0.0299,29.4,US
how to hospitality software,/product,963,36213,0.0472,8.4,IN
buy hospitality solution,/blog/guide,958,21552,0.0038,30.1,US
compare hospitality solution,/pricing,823,29919,0.0624,20.4,SG
compare hospitality solution,/case-studies,731,31189,0.0258,11.7,IN
compare hospitality tools,/pricing,957,48335,0.0948,21.7,SG
top hospitality services,/case-studies,100,45498,0.0163,16.9,UK
how to hospitality services,/blog/guide,1192,1526,0.0833,29.0,SG
how to hospitality services,/case-studies,331,10770,0.115,27.7,UK
buy hospitality solution,/case-studies,681,13294,0.0415,20.4,UK
best hospitality solution,/case-studies,775,41105,0.1171,24.6,US
buy hospitality solution,/product,237,44042,0.0189,19.0,UK
top hospitality software,/blog/guide,787,4517,0.0991,2.7,SG
compare hospitality tools,/pricing,598,17516,0.1135,7.0,US
buy hospitality software,/product,604,11543,0.0854,19.5,SG
compare hospitality services,/,1110,27519,0.0267,38.7,UK
