payment_id,invoice_id,payment_date,currency,amount,method,status
cli_0001_pay_0001,cli_0001_inv_0001,2026-04-23,USD,8845.59,paypal,settled
cli_0001_pay_0002,cli_0001_inv_0002,2026-02-16,USD,10235.74,upi,settled
cli_0001_pay_0003,cli_0001_inv_0003,2026-04-21,USD,10209.62,card,settled
cli_0001_pay_0004,cli_0001_inv_0004,2026-03-17,USD,2762.38,bank_transfer,settled
cli_0001_pay_0005,cli_0001_inv_0005,2025-12-03,USD,4370.6,upi,settled
cli_0001_pay_0008,cli_0001_inv_0008,2025-12-06,USD,8344.88,upi,settled
cli_0001_pay_0010,cli_0001_inv_0010,2026-03-17,USD,10718.3,card,settled
cli_0001_pay_0011,cli_0001_inv_0011,2026-03-17,USD,1603.31,upi,settled
cli_0001_pay_0014,cli_0001_inv_0014,2025-12-25,USD,7362.69,card,settled
cli_0001_pay_0015,cli_0001_inv_0015,2026-03-05,USD,2148.85,bank_transfer,settled
cli_0001_pay_0016,cli_0001_inv_0016,2026-03-29,USD,10621.22,bank_transfer,settled
cli_0001_pay_0017,cli_0001_inv_0017,2026-04-04,USD,4676.67,bank_transfer,settled
cli_0001_pay_0018,cli_0001_inv_0018,2026-02-22,USD,11116.68,card,settled
cli_0001_pay_0019,cli_0001_inv_0019,2026-02-26,USD,7287.87,paypal,settled
cli_0001_pay_0023,cli_0001_inv_0023,2026-04-06,USD,3645.04,bank_transfer,settled
cli_0001_pay_0024,cli_0001_inv_0024,2026-02-06,USD,7284.86,upi,settled
cli_0001_pay_0025,cli_0001_inv_0025,2026-04-15,USD,5009.19,paypal,settled
cli_0001_pay_0027,cli_0001_inv_0027,2026-03-18,USD,870.75,bank_transfer,settled
cli_0001_pay_0028,cli_0001_inv_0028,2026-01-21,USD,164.71,bank_transfer,settled
cli_0001_pay_0029,cli_0001_inv_0029,2026-04-14,USD,6285.01,upi,settled
cli_0001_pay_0030,cli_0001_inv_0030,2026-02-23,USD,3365.76,card,settled
cli_0001_pay_0032,cli_0001_inv_0032,2026-02-22,USD,9933.93,paypal,settled
cli_0001_pay_0033,cli_0001_inv_0033,2026-01-05,USD,2247.6,paypal,settled
cli_0001_pay_0035,cli_0001_inv_0035,2025-12-27,USD,1568.08,upi,settled
cli_0001_pay_0036,cli_0001_inv_0036,2025-11-26,USD,1373.89,upi,settled
cli_0001_pay_0037,cli_0001_inv_0037,2025-12-14,USD,10361.92,paypal,settled
cli_0001_pay_0038,cli_0001_inv_0038,2026-02-15,USD,2126.5,bank_transfer,settled
cli_0001_pay_0039,cli_0001_inv_0039,2026-04-17,USD,5963.68,upi,settled
cli_0001_pay_0040,cli_0001_inv_0040,2026-03-07,USD,3468.53,bank_transfer,settled
cli_0001_pay_0041,cli_0001_inv_0041,2025-12-19,USD,10473.46,upi,settled
cli_0001_pay_0043,cli_0001_inv_0043,2026-03-18,USD,9928.02,upi,settled
cli_0001_pay_0044,cli_0001_inv_0044,2025-12-22,USD,4396.85,upi,settled
cli_0001_pay_0045,cli_0001_inv_0045,2025-12-17,USD,6148.52,bank_transfer,settled
cli_0001_pay_0048,cli_0001_inv_0048,2025-12-09,USD,1243.73,bank_transfer,settled
cli_0001_pay_0050,cli_0001_inv_0050,2026-04-22,USD,10589.49,card,settled
cli_0001_pay_0051,cli_0001_inv_0051,2026-02-01,USD,1420.79,card,settled
cli_0001_pay_0053,cli_0001_inv_0053,2025-12-11,USD,1734.53,card,settled
cli_0001_pay_0055,cli_0001_inv_0055,2026-02-19,USD,11049.3,bank_transfer,settled
cli_0001_pay_0056,cli_0001_inv_0056,2026-03-11,USD,7270.26,card,settled
cli_0001_pay_0057,cli_0001_inv_0057,2025-12-17,USD,3770.12,upi,settled
cli_0001_pay_0060,cli_0001_inv_0060,2026-02-27,USD,9891.17,bank_transfer,settled
cli_0001_pay_0063,cli_0001_inv_0063,2026-04-20,USD,2984.44,paypal,settled
cli_0001_pay_0064,cli_0001_inv_0064,2025-11-30,USD,11632.34,bank_transfer,settled
cli_0001_pay_0065,cli_0001_inv_0065,2025-12-29,USD,6342.09,card,settled
cli_0001_pay_0066,cli_0001_inv_0066,2026-02-04,USD,7231.33,paypal,settled
cli_0001_pay_0067,cli_0001_inv_0067,2026-03-19,USD,7594.32,card,settled
cli_0001_pay_0071,cli_0001_inv_0071,2026-03-15,USD,5530.72,card,settled
cli_0001_pay_0072,cli_0001_inv_0072,2025-12-22,USD,11828.75,upi,settled
cli_0001_pay_0074,cli_0001_inv_0074,2026-01-07,USD,11367.08,upi,settled
cli_0001_pay_0075,cli_0001_inv_0075,2026-01-21,USD,274.41,card,settled
cli_0001_pay_0076,cli_0001_inv_0076,2026-03-02,USD,8771.78,bank_transfer,settled
cli_0001_pay_0077,cli_0001_inv_0077,2025-11-25,USD,8063.45,upi,settled
cli_0001_pay_0078,cli_0001_inv_0078,2026-02-15,USD,506.46,bank_transfer,settled
cli_0001_pay_0079,cli_0001_inv_0079,2026-01-04,USD,4825.29,upi,settled
