query,page,clicks,impressions,ctr,avg_position,country
buy healthcare solution,/,308,37787,0.0913,25.5,UK
buy healthcare tools,/pricing,723,24124,0.0482,17.7,UAE
best healthcare solution,/,169,17342,0.069,44.8,US
compare healthcare tools,/case-studies,1030,13430,0.0689,11.7,UK
buy healthcare software,/pricing,795,24896,0.1056,6.5,IN
best healthcare software,/,264,16075,0.0944,26.2,US
how to healthcare services,/blog/guide,11,29528,0.0814,29.8,IN
how to healthcare services,/,183,46281,0.1043,10.1,IN
buy healthcare services,/pricing,212,9873,0.0493,44.5,UAE
top healthcare solution,/pricing,1015,20137,0.0168,19.3,UK
how to healthcare tools,/case-studies,1163,15178,0.0779,10.0,IN
buy healthcare software,/,427,40538,0.0086,39.8,UK
how to healthcare tools,/product,734,22406,0.0595,17.1,IN
compare healthcare solution,/pricing,774,9460,0.002,31.3,UAE
how to healthcare tools,/product,304,8443,0.0267,27.7,IN
top healthcare software,/blog/guide,541,48087,0.0447,11.8,IN
compare healthcare software,/pricing,680,42279,0.0394,35.0,US
how to healthcare tools,/product,519,39695,0.0016,15.5,UK
compare healthcare services,/case-studies,926,2457,0.0095,17.2,IN
top healthcare solution,/pricing,838,30536,0.0386,6.1,UK
how to healthcare software,/case-studies,712,37541,0.034,40.1,US
top healthcare software,/product,354,4859,0.0756,30.9,IN
buy healthcare software,/,95,23128,0.0364,12.5,UK
how to healthcare services,/,792,5879,0.1134,4.4,UAE
compare healthcare services,/case-studies,96,47624,0.0198,8.5,IN
buy healthcare services,/case-studies,340,39259,0.0746,15.2,UK
top healthcare solution,/product,1013,48886,0.0947,1.5,US
compare healthcare services,/blog/guide,819,21121,0.1082,20.6,IN
buy healthcare software,/blog/guide,473,13933,0.0655,12.6,IN
buy healthcare tools,/,941,41774,0.043,5.2,US
compare healthcare services,/,520,3670,0.0719,23.5,UAE
best healthcare solution,/,294,38865,0.0119,25.8,IN
how to healthcare services,/case-studies,12,14421,0.0838,19.4,UK
compare healthcare tools,/blog/guide,21,36764,0.0477,8.6,UAE
how to healthcare services,/,1177,18115,0.026,32.7,UK
how to healthcare solution,/pricing,473,48867,0.0269,6.2,UAE
buy healthcare services,/,932,12072,0.0432,5.8,UK
compare healthcare services,/product,925,18694,0.0733,1.8,IN
best healthcare tools,/pricing,350,28152,0.003,6.1,US
how to healthcare solution,/,89,21596,0.1132,40.2,UAE
