date,channel,campaign_name,ad_set_or_group,spend,impressions,clicks,conversions,ctr,cpc,cpa,status
2026-02-24,email,North Growth Retargeting,D,211.6,229966,4295,379,0.0187,0.05,0.56,active
2026-02-24,referral,North Growth Prospecting,C,177.45,202264,8083,291,0.04,0.02,0.61,paused
2026-02-24,organic,North Growth Brand,B,273.96,459843,15436,753,0.0336,0.02,0.36,active
2026-02-24,direct,North Growth Retargeting,C,251.47,289510,3320,273,0.0115,0.08,0.92,learning
2026-02-24,tiktok_ads,North Growth Prospecting,A,228.82,447829,10402,531,0.0232,0.02,0.43,active
2026-02-25,email,North Growth Prospecting,B,316.72,360978,10590,844,0.0293,0.03,0.38,paused
2026-02-25,referral,North Growth Retargeting,C,290.89,660846,39540,1109,0.0598,0.01,0.26,active
2026-02-25,organic,North Growth Brand,D,303.85,657118,12666,777,0.0193,0.02,0.39,active
2026-02-25,direct,North Growth Offer,A,290.58,524422,17689,1705,0.0337,0.02,0.17,learning
2026-02-25,tiktok_ads,North Growth Prospecting,B,245.84,279565,17903,2056,0.064,0.01,0.12,paused
2026-02-26,email,North Growth Brand,D,219.32,183573,5611,99,0.0306,0.04,2.22,active
2026-02-26,referral,North Growth Offer,A,253.19,479997,9926,391,0.0207,0.03,0.65,learning
2026-02-26,organic,North Growth Prospecting,B,294.65,252110,8769,241,0.0348,0.03,1.22,active
2026-02-26,direct,North Growth Brand,B,288.39,542247,6030,501,0.0111,0.05,0.58,limited
2026-02-26,tiktok_ads,North Growth Retargeting,D,200.29,303689,8024,97,0.0264,0.02,2.06,active
2026-02-27,email,North Growth Prospecting,C,184.84,339877,15004,1603,0.0441,0.01,0.12,active
2026-02-27,referral,North Growth Offer,A,317.55,311769,4346,184,0.0139,0.07,1.73,learning
2026-02-27,organic,North Growth Prospecting,A,258.24,312303,7192,813,0.023,0.04,0.32,active
2026-02-27,direct,North Growth Brand,A,287.13,505712,17655,1941,0.0349,0.02,0.15,active
2026-02-27,tiktok_ads,North Growth Launch,D,324.54,381644,19726,316,0.0517,0.02,1.03,active
2026-02-28,email,North Growth Brand,D,207.07,479039,17773,652,0.0371,0.01,0.32,learning
2026-02-28,referral,North Growth Launch,A,335.17,384351,23311,2713,0.0607,0.01,0.12,active
2026-02-28,organic,North Growth Launch,B,295.8,536886,19796,343,0.0369,0.01,0.86,active
2026-02-28,direct,North Growth Prospecting,B,239.99,242888,3632,118,0.015,0.07,2.03,active
2026-02-28,tiktok_ads,North Growth Prospecting,A,289.05,384866,15272,705,0.0397,0.02,0.41,active
2026-03-01,email,North Growth Brand,D,385.71,599585,14891,1761,0.0248,0.03,0.22,active
2026-03-01,referral,North Growth Brand,A,311.4,312643,12235,1416,0.0391,0.03,0.22,limited
2026-03-01,organic,North Growth Launch,D,338.12,420235,17352,1930,0.0413,0.02,0.18,learning
2026-03-01,direct,North Growth Offer,D,296.3,422984,24147,964,0.0571,0.01,0.31,active
2026-03-01,tiktok_ads,North Growth Launch,B,337.28,770633,40592,4412,0.0527,0.01,0.08,active
