query,page,clicks,impressions,ctr,avg_position,country
compare subscription software,/,599,40783,0.023,8.2,IN
best subscription tools,/,1086,7919,0.0115,41.8,UK
compare subscription software,/product,312,13653,0.0546,20.8,UK
how to subscription services,/blog/guide,181,28758,0.0794,25.8,US
top subscription solution,/blog/guide,882,27179,0.0953,16.5,UK
buy subscription solution,/,816,38791,0.0894,2.2,UK
best subscription tools,/blog/guide,434,4877,0.082,32.5,US
top subscription services,/pricing,147,41702,0.0123,38.3,IN
buy subscription software,/blog/guide,591,9689,0.1064,30.5,IN
buy subscription solution,/case-studies,1002,24126,0.0482,22.3,IN
best subscription solution,/case-studies,1039,49369,0.0456,44.7,IN
best subscription solution,/blog/guide,128,6208,0.0253,1.2,UK
top subscription software,/case-studies,1041,37549,0.1185,5.6,UK
how to subscription tools,/,308,28131,0.0852,22.4,US
how to subscription software,/product,420,25629,0.12,45.0,US
best subscription services,/pricing,1034,21907,0.0068,35.9,US
best subscription tools,/case-studies,1059,2581,0.0204,9.3,US
top subscription services,/pricing,513,6309,0.0159,13.0,IN
top subscription software,/case-studies,168,34788,0.0116,16.7,IN
top subscription solution,/blog/guide,946,42211,0.0586,33.4,UK
top subscription solution,/product,381,15222,0.0225,10.7,US
top subscription tools,/case-studies,178,35281,0.0538,22.6,US
buy subscription software,/product,1104,39543,0.0449,5.7,US
best subscription tools,/blog/guide,277,33178,0.037,13.3,US
top subscription software,/product,170,14866,0.0537,8.8,US
buy subscription software,/blog/guide,481,19804,0.0387,22.1,UK
how to subscription software,/case-studies,786,27197,0.0761,30.4,US
top subscription software,/pricing,208,13443,0.1089,21.6,UK
compare subscription services,/blog/guide,157,2858,0.039,24.2,UK
best subscription solution,/case-studies,1158,21895,0.0992,4.7,IN
top subscription services,/case-studies,453,25940,0.0168,38.3,US
top subscription services,/pricing,1101,5866,0.0098,38.2,UK
best subscription services,/pricing,845,25769,0.1161,42.2,US
best subscription services,/,200,25870,0.1075,33.1,US
top subscription tools,/,110,16797,0.0082,12.8,UK
compare subscription solution,/blog/guide,554,38638,0.0986,10.8,UK
best subscription services,/pricing,779,5144,0.0757,32.9,IN
best subscription software,/pricing,606,3374,0.02,42.6,US
compare subscription solution,/case-studies,100,18676,0.0093,5.6,US
buy subscription software,/product,344,28602,0.0105,1.0,US
