query,page,clicks,impressions,ctr,avg_position,country
compare ecommerce solution,/case-studies,671,48892,0.0435,34.4,IN
best ecommerce software,/case-studies,359,47212,0.0712,5.4,UK
best ecommerce solution,/blog/guide,743,4805,0.0307,37.7,UK
top ecommerce tools,/,1123,17684,0.0933,15.2,US
best ecommerce software,/pricing,468,15144,0.0642,29.8,US
how to ecommerce solution,/case-studies,974,27595,0.0348,16.9,UK
how to ecommerce software,/product,718,25443,0.0801,21.3,IN
top ecommerce software,/case-studies,326,23553,0.0559,3.8,IN
buy ecommerce services,/pricing,701,18498,0.0077,31.3,IN
best ecommerce software,/,1046,47426,0.0921,44.1,US
top ecommerce software,/,632,49382,0.1046,36.9,UK
compare ecommerce software,/case-studies,485,34222,0.0237,10.0,IN
compare ecommerce tools,/,275,6187,0.0169,17.5,IN
top ecommerce solution,/product,747,45023,0.0565,8.3,US
buy ecommerce services,/blog/guide,54,11378,0.0127,26.7,IN
top ecommerce solution,/,55,13119,0.049,22.2,IN
best ecommerce solution,/blog/guide,927,28204,0.0818,3.1,UK
buy ecommerce solution,/case-studies,798,11565,0.0911,36.5,US
top ecommerce solution,/pricing,862,6120,0.118,37.3,IN
best ecommerce tools,/,402,31187,0.1024,31.3,US
how to ecommerce services,/blog/guide,434,1807,0.0195,9.3,US
top ecommerce services,/product,837,3152,0.0967,28.0,US
best ecommerce tools,/,1137,9104,0.0401,44.7,IN
buy ecommerce services,/blog/guide,49,2935,0.0984,26.6,US
buy ecommerce tools,/case-studies,609,7832,0.1104,43.9,IN
top ecommerce tools,/product,30,48109,0.0895,1.8,US
best ecommerce software,/,793,20008,0.063,28.9,IN
how to ecommerce solution,/product,6,30435,0.1108,29.8,UK
top ecommerce software,/case-studies,247,27174,0.0782,31.9,IN
buy ecommerce services,/pricing,955,7023,0.0763,25.2,IN
compare ecommerce solution,/case-studies,708,5445,0.0072,6.1,IN
compare ecommerce tools,/,640,41360,0.013,44.3,UK
how to ecommerce tools,/blog/guide,297,19304,0.0219,12.2,IN
compare ecommerce solution,/blog/guide,279,35542,0.036,19.9,IN
buy ecommerce software,/blog/guide,519,49844,0.0741,3.9,IN
top ecommerce solution,/pricing,399,11873,0.0316,4.1,IN
top ecommerce tools,/case-studies,250,44436,0.0779,25.5,US
how to ecommerce services,/product,295,41368,0.0914,7.4,UK
buy ecommerce solution,/case-studies,435,2799,0.0498,17.0,US
compare ecommerce solution,/blog/guide,920,15559,0.0042,8.2,IN
