date,channel,campaign_name,ad_set_or_group,spend,impressions,clicks,conversions,ctr,cpc,cpa,status
2026-02-24,referral,North Commerce Brand,D,920.68,803693,53585,1269,0.0667,0.02,0.73,learning
2026-02-24,tiktok_ads,North Commerce Prospecting,A,899.6,1970528,65361,4108,0.0332,0.01,0.22,paused
2026-02-24,linkedin_ads,North Commerce Brand,B,793.22,841166,49629,2580,0.059,0.02,0.31,active
2026-02-25,referral,North Commerce Prospecting,B,535.97,623025,24212,2210,0.0389,0.02,0.24,active
2026-02-25,tiktok_ads,North Commerce Launch,C,815.96,1021472,11212,231,0.011,0.07,3.53,active
2026-02-25,linkedin_ads,North Commerce Offer,D,725.49,1025819,51473,6052,0.0502,0.01,0.12,paused
2026-02-26,referral,North Commerce Offer,C,692.35,1117845,56800,5933,0.0508,0.01,0.12,active
2026-02-26,tiktok_ads,North Commerce Offer,B,977.04,897756,10195,268,0.0114,0.1,3.65,paused
2026-02-26,linkedin_ads,North Commerce Launch,A,967.97,1304769,14620,959,0.0112,0.07,1.01,paused
2026-02-27,referral,North Commerce Prospecting,D,819.48,1673324,104207,4919,0.0623,0.01,0.17,active
2026-02-27,tiktok_ads,North Commerce Brand,D,561.72,834858,54089,3638,0.0648,0.01,0.15,active
2026-02-27,linkedin_ads,North Commerce Offer,B,852.93,1981523,97735,9270,0.0493,0.01,0.09,active
2026-02-28,referral,North Commerce Offer,C,750.64,1694083,92811,8565,0.0548,0.01,0.09,active
2026-02-28,tiktok_ads,North Commerce Offer,A,763.41,1656089,19461,1419,0.0118,0.04,0.54,active
2026-02-28,linkedin_ads,North Commerce Prospecting,A,1048.95,2019244,102179,11524,0.0506,0.01,0.09,active
2026-03-01,referral,North Commerce Launch,B,659.74,1174919,69349,3590,0.059,0.01,0.18,active
2026-03-01,tiktok_ads,North Commerce Brand,D,819.84,1177835,46259,2381,0.0393,0.02,0.34,active
2026-03-01,linkedin_ads,North Commerce Launch,B,928.02,2013320,97299,7591,0.0483,0.01,0.12,active
2026-03-02,referral,North Commerce Brand,A,850.99,1470782,22390,2135,0.0152,0.04,0.4,active
2026-03-02,tiktok_ads,North Commerce Offer,C,1127.75,2486757,133375,12384,0.0536,0.01,0.09,active
2026-03-02,linkedin_ads,North Commerce Offer,A,1154.98,2705755,163938,8440,0.0606,0.01,0.14,active
2026-03-03,referral,North Commerce Brand,B,874.46,1395802,41140,1786,0.0295,0.02,0.49,learning
2026-03-03,tiktok_ads,North Commerce Prospecting,A,1021.05,918505,48255,3167,0.0525,0.02,0.32,learning
2026-03-03,linkedin_ads,North Commerce Offer,D,793.38,1223681,56710,1920,0.0463,0.01,0.41,active
2026-03-04,referral,North Commerce Retargeting,B,863.04,1197003,26508,1352,0.0221,0.03,0.64,learning
2026-03-04,tiktok_ads,North Commerce Offer,A,749.48,1803111,88375,3497,0.049,0.01,0.21,paused
2026-03-04,linkedin_ads,North Commerce Launch,D,1009.15,911213,42668,2640,0.0468,0.02,0.38,active
2026-03-05,referral,North Commerce Offer,B,869.29,1798075,20533,1941,0.0114,0.04,0.45,paused
