query,page,clicks,impressions,ctr,avg_position,country
buy healthcare tools,/case-studies,592,5423,0.0757,3.7,EU
top healthcare solution,/case-studies,1121,10403,0.085,7.8,EU
best healthcare solution,/product,539,42726,0.0117,36.6,IN
how to healthcare solution,/blog/guide,46,27499,0.043,18.8,EU
best healthcare services,/,331,5088,0.0624,37.2,EU
buy healthcare solution,/pricing,523,24115,0.0692,1.1,EU
buy healthcare software,/,912,41530,0.0934,35.5,EU
top healthcare solution,/product,1098,26316,0.0156,13.2,EU
compare healthcare services,/pricing,814,16576,0.0025,39.3,US
compare healthcare services,/,151,39632,0.0742,1.2,IN
how to healthcare software,/product,511,40198,0.0681,33.4,IN
best healthcare software,/pricing,967,37962,0.0101,13.4,IN
top healthcare solution,/pricing,114,27157,0.054,42.7,US
best healthcare services,/case-studies,383,40617,0.0444,22.1,EU
how to healthcare software,/blog/guide,40,33626,0.0833,44.9,IN
how to healthcare software,/,391,21561,0.0763,39.5,EU
compare healthcare services,/blog/guide,513,492,0.088,5.0,US
best healthcare services,/case-studies,997,33807,0.0575,42.0,EU
buy healthcare services,/blog/guide,750,16237,0.1191,24.6,IN
top healthcare solution,/product,533,46851,0.0277,30.4,EU
how to healthcare tools,/pricing,936,13284,0.0929,5.9,UK
how to healthcare tools,/pricing,345,44668,0.0454,11.4,UK
how to healthcare solution,/case-studies,383,2125,0.0987,28.9,UK
buy healthcare solution,/,315,32616,0.1198,30.7,US
best healthcare services,/,674,7858,0.1131,29.8,IN
top healthcare tools,/,715,43805,0.0087,28.4,US
buy healthcare software,/pricing,89,21215,0.0974,24.3,UK
buy healthcare solution,/case-studies,502,19240,0.0952,36.7,IN
top healthcare services,/case-studies,445,11804,0.0192,20.2,EU
buy healthcare solution,/,214,26961,0.0575,21.6,UK
compare healthcare tools,/case-studies,773,9565,0.0944,14.1,EU
how to healthcare services,/pricing,223,37059,0.0947,15.1,US
top healthcare services,/pricing,1142,38037,0.082,2.8,US
how to healthcare services,/case-studies,91,24738,0.0304,40.9,IN
how to healthcare software,/,644,5891,0.0178,28.1,US
top healthcare solution,/pricing,71,13573,0.0018,29.3,EU
best healthcare services,/,1190,20732,0.0308,31.3,EU
top healthcare solution,/,705,46586,0.0595,14.3,US
buy healthcare services,/case-studies,747,24019,0.0916,18.8,UK
top healthcare software,/,980,21985,0.0096,11.9,US
