payment_id,invoice_id,payment_date,currency,amount,method,status
cli_0007_pay_0002,cli_0007_inv_0002,2025-12-10,AUD,5149.7,paypal,settled
cli_0007_pay_0003,cli_0007_inv_0003,2026-02-04,AUD,9374.5,paypal,settled
cli_0007_pay_0005,cli_0007_inv_0005,2026-02-19,AUD,274.75,paypal,settled
cli_0007_pay_0007,cli_0007_inv_0007,2025-12-06,AUD,420.88,upi,settled
cli_0007_pay_0008,cli_0007_inv_0008,2026-04-24,AUD,3628.03,paypal,settled
cli_0007_pay_0009,cli_0007_inv_0009,2026-02-24,AUD,4644.38,paypal,settled
cli_0007_pay_0013,cli_0007_inv_0013,2026-02-27,AUD,11046.24,paypal,settled
cli_0007_pay_0014,cli_0007_inv_0014,2026-04-14,AUD,9439.73,paypal,settled
cli_0007_pay_0015,cli_0007_inv_0015,2026-03-26,AUD,10069.31,paypal,settled
cli_0007_pay_0017,cli_0007_inv_0017,2026-03-14,AUD,11793.78,card,settled
cli_0007_pay_0018,cli_0007_inv_0018,2026-01-23,AUD,1743.13,card,settled
cli_0007_pay_0019,cli_0007_inv_0019,2026-03-27,AUD,5969.79,card,settled
cli_0007_pay_0020,cli_0007_inv_0020,2026-03-17,AUD,11616.06,card,settled
cli_0007_pay_0022,cli_0007_inv_0022,2025-12-06,AUD,11563.97,upi,settled
cli_0007_pay_0023,cli_0007_inv_0023,2026-03-06,AUD,10890.48,bank_transfer,settled
cli_0007_pay_0024,cli_0007_inv_0024,2026-03-17,AUD,11837.42,bank_transfer,settled
cli_0007_pay_0026,cli_0007_inv_0026,2026-01-31,AUD,8342.73,bank_transfer,settled
cli_0007_pay_0027,cli_0007_inv_0027,2026-03-08,AUD,7308.1,paypal,settled
cli_0007_pay_0028,cli_0007_inv_0028,2026-01-07,AUD,8036.55,bank_transfer,settled
cli_0007_pay_0029,cli_0007_inv_0029,2026-01-21,AUD,3395.88,upi,settled
cli_0007_pay_0030,cli_0007_inv_0030,2026-03-30,AUD,10457.16,paypal,settled
cli_0007_pay_0031,cli_0007_inv_0031,2025-12-08,AUD,3970.17,card,settled
cli_0007_pay_0032,cli_0007_inv_0032,2025-12-20,AUD,9474.41,upi,settled
cli_0007_pay_0033,cli_0007_inv_0033,2026-02-24,AUD,749.64,bank_transfer,settled
cli_0007_pay_0034,cli_0007_inv_0034,2026-04-15,AUD,5799.87,paypal,settled
cli_0007_pay_0035,cli_0007_inv_0035,2026-02-10,AUD,1339.34,card,settled
cli_0007_pay_0036,cli_0007_inv_0036,2026-04-21,AUD,4806.53,bank_transfer,settled
cli_0007_pay_0037,cli_0007_inv_0037,2026-02-03,AUD,3352.52,paypal,settled
cli_0007_pay_0038,cli_0007_inv_0038,2025-12-10,AUD,4004.3,bank_transfer,settled
cli_0007_pay_0039,cli_0007_inv_0039,2026-02-28,AUD,1375.61,upi,settled
cli_0007_pay_0040,cli_0007_inv_0040,2026-04-09,AUD,10205.95,upi,settled
