date,channel,campaign_name,ad_set_or_group,spend,impressions,clicks,conversions,ctr,cpc,cpa,status
2026-02-24,linkedin_ads,Vertex Works Launch,C,476.1,796080,38097,1107,0.0479,0.01,0.43,paused
2026-02-24,referral,Vertex Works Brand,C,365.76,568664,6521,561,0.0115,0.06,0.65,learning
2026-02-24,google_ads,Vertex Works Launch,D,327.74,415978,15570,1175,0.0374,0.02,0.28,active
2026-02-25,linkedin_ads,Vertex Works Brand,B,502.82,1016528,55853,6173,0.0549,0.01,0.08,active
2026-02-25,referral,Vertex Works Brand,C,435.77,800871,40840,4079,0.051,0.01,0.11,paused
2026-02-25,google_ads,Vertex Works Retargeting,B,559.21,998626,24934,940,0.025,0.02,0.59,learning
2026-02-26,linkedin_ads,Vertex Works Offer,D,492.73,1001723,59439,888,0.0593,0.01,0.55,paused
2026-02-26,referral,Vertex Works Offer,A,373.33,574051,23947,2605,0.0417,0.02,0.14,active
2026-02-26,google_ads,Vertex Works Launch,A,560.56,1238158,68211,7804,0.0551,0.01,0.07,learning
2026-02-27,linkedin_ads,Vertex Works Offer,C,559.84,789730,21414,249,0.0271,0.03,2.25,active
2026-02-27,referral,Vertex Works Offer,D,434.15,803402,24067,2719,0.03,0.02,0.16,learning
2026-02-27,google_ads,Vertex Works Launch,D,566.8,1258992,69769,1361,0.0554,0.01,0.42,paused
2026-02-28,linkedin_ads,Vertex Works Launch,C,624.53,1380144,28807,3130,0.0209,0.02,0.2,active
2026-02-28,referral,Vertex Works Retargeting,C,561.06,1229615,29975,1746,0.0244,0.02,0.32,active
2026-02-28,google_ads,Vertex Works Retargeting,B,606.28,1225392,78226,7976,0.0638,0.01,0.08,active
2026-03-01,linkedin_ads,Vertex Works Launch,B,408.06,778200,27406,454,0.0352,0.01,0.9,active
2026-03-01,referral,Vertex Works Offer,C,432.57,1030561,23105,1114,0.0224,0.02,0.39,active
2026-03-01,google_ads,Vertex Works Brand,B,518.07,730835,13680,706,0.0187,0.04,0.73,learning
2026-03-02,linkedin_ads,Vertex Works Offer,B,536.47,605924,10763,517,0.0178,0.05,1.04,active
2026-03-02,referral,Vertex Works Brand,D,373.9,317097,10288,198,0.0324,0.04,1.89,active
2026-03-02,google_ads,Vertex Works Launch,D,514.74,785062,52279,4523,0.0666,0.01,0.11,active
2026-03-03,linkedin_ads,Vertex Works Prospecting,A,436.84,1054115,35758,1113,0.0339,0.01,0.39,limited
2026-03-03,referral,Vertex Works Retargeting,C,424.84,599861,16833,1330,0.0281,0.03,0.32,active
2026-03-03,google_ads,Vertex Works Brand,C,435.46,593551,10770,322,0.0181,0.04,1.35,active
2026-03-04,linkedin_ads,Vertex Works Brand,D,497.23,517597,32707,2071,0.0632,0.02,0.24,active
2026-03-04,referral,Vertex Works Brand,C,474.46,553528,5654,440,0.0102,0.08,1.08,active
2026-03-04,google_ads,Vertex Works Offer,A,464.72,591465,31979,2396,0.0541,0.01,0.19,paused
2026-03-05,linkedin_ads,Vertex Works Offer,C,468.9,741658,50337,1184,0.0679,0.01,0.4,active
2026-03-05,referral,Vertex Works Launch,B,780.39,1179924,74529,7882,0.0632,0.01,0.1,paused
2026-03-05,google_ads,Vertex Works Prospecting,B,463.27,718147,25606,1349,0.0357,0.02,0.34,limited
2026-03-06,linkedin_ads,Vertex Works Launch,C,312.81,609503,27630,2287,0.0453,0.01,0.14,paused
2026-03-06,referral,Vertex Works Brand,D,345.75,853911,51620,3907,0.0605,0.01,0.09,learning
2026-03-06,google_ads,Vertex Works Offer,A,336.11,709026,17558,188,0.0248,0.02,1.79,active
2026-03-07,linkedin_ads,Vertex Works Offer,A,507.39,484605,7506,191,0.0155,0.07,2.66,active
2026-03-07,referral,Vertex Works Retargeting,B,387.27,481618,5076,411,0.0105,0.08,0.94,active
2026-03-07,google_ads,Vertex Works Launch,C,733.92,1719567,119469,11584,0.0695,0.01,0.06,learning
2026-03-08,linkedin_ads,Vertex Works Retargeting,C,242.72,441508,8210,256,0.0186,0.03,0.95,paused
2026-03-08,referral,Vertex Works Retargeting,A,648.45,1353213,56451,4767,0.0417,0.01,0.14,active
2026-03-08,google_ads,Vertex Works Prospecting,C,401.26,658655,8989,351,0.0136,0.04,1.14,paused
2026-03-09,linkedin_ads,Vertex Works Brand,B,578.56,730165,43920,4844,0.0602,0.01,0.12,paused
2026-03-09,referral,Vertex Works Launch,B,438.97,1096399,12767,404,0.0116,0.03,1.09,learning
2026-03-09,google_ads,Vertex Works Launch,A,396.4,588993,11758,163,0.02,0.03,2.43,active
