query,page,clicks,impressions,ctr,avg_position,country
top education tools,/pricing,868,20001,0.1069,5.8,US
best education solution,/case-studies,1031,34074,0.0175,32.7,UK
how to education solution,/pricing,862,38335,0.0126,19.8,UK
how to education solution,/product,582,12107,0.0865,33.5,UK
best education tools,/,811,41990,0.0709,22.7,IN
top education tools,/blog/guide,1017,19425,0.0477,41.1,IN
top education solution,/case-studies,1011,17357,0.0556,1.9,UK
how to education tools,/blog/guide,1163,30002,0.1016,35.1,UK
top education services,/product,881,21703,0.0945,42.1,UK
compare education tools,/blog/guide,280,3875,0.0906,6.7,UK
how to education solution,/case-studies,682,23120,0.0532,23.5,UK
buy education services,/,408,1070,0.0469,6.2,UK
compare education solution,/,658,36329,0.0225,41.2,US
top education software,/product,697,32892,0.1089,24.8,UK
top education solution,/case-studies,1089,27477,0.0946,8.0,IN
how to education software,/product,1177,6134,0.1151,28.6,UK
top education software,/blog/guide,725,38436,0.0886,1.1,US
buy education software,/blog/guide,249,39605,0.0125,11.8,UK
buy education software,/blog/guide,524,36677,0.0581,21.2,US
best education solution,/pricing,751,5012,0.077,19.9,UK
how to education software,/product,750,15267,0.1119,26.3,UK
compare education software,/product,19,39596,0.095,25.4,US
buy education software,/blog/guide,1197,2678,0.0974,25.6,UK
compare education solution,/case-studies,1039,31574,0.0751,22.0,UK
best education tools,/blog/guide,232,1981,0.0603,19.7,US
compare education software,/case-studies,565,29576,0.111,43.0,US
compare education software,/product,824,14555,0.1041,20.6,US
buy education tools,/pricing,988,18867,0.0332,11.4,IN
compare education tools,/case-studies,432,13974,0.0404,8.4,UK
best education services,/blog/guide,1113,18251,0.0686,29.9,US
top education software,/case-studies,806,33385,0.0833,20.3,US
buy education services,/blog/guide,46,12580,0.054,1.3,IN
top education tools,/case-studies,945,19414,0.1139,3.5,UK
compare education software,/blog/guide,1050,37430,0.0281,2.5,IN
compare education solution,/product,738,18163,0.076,30.5,UK
compare education services,/blog/guide,297,1206,0.1018,18.8,UK
best education solution,/case-studies,171,28783,0.0366,19.8,UK
how to education solution,/pricing,1027,36226,0.0842,22.6,UK
compare education services,/,98,4109,0.0266,23.2,IN
how to education solution,/case-studies,304,49458,0.0595,28.5,UK
