query,page,clicks,impressions,ctr,avg_position,country
top ecommerce software,/pricing,514,45904,0.0605,43.9,US
buy ecommerce solution,/pricing,1032,13422,0.0091,39.0,US
compare ecommerce software,/blog/guide,731,27910,0.0485,39.6,US
compare ecommerce software,/case-studies,929,49214,0.0919,13.9,US
best ecommerce solution,/blog/guide,545,5433,0.0455,13.7,US
best ecommerce software,/pricing,285,16227,0.0092,15.5,US
best ecommerce software,/case-studies,725,42814,0.0452,26.6,IN
compare ecommerce tools,/product,324,16835,0.0952,27.4,UK
best ecommerce solution,/blog/guide,958,39426,0.0958,13.6,UK
top ecommerce tools,/blog/guide,315,18539,0.0028,37.1,US
top ecommerce software,/,937,3941,0.1174,11.6,US
compare ecommerce services,/product,1131,38845,0.1002,27.7,US
how to ecommerce software,/,405,5056,0.0605,26.5,UK
buy ecommerce solution,/case-studies,179,6212,0.1128,39.4,US
buy ecommerce tools,/case-studies,691,4008,0.044,35.4,US
how to ecommerce tools,/case-studies,422,25023,0.0198,44.3,IN
top ecommerce solution,/blog/guide,605,13954,0.0796,24.9,US
best ecommerce solution,/product,862,6625,0.1013,30.8,US
how to ecommerce services,/case-studies,908,10337,0.0424,44.2,UK
top ecommerce software,/,178,47400,0.0182,32.3,US
buy ecommerce services,/pricing,1039,45528,0.0874,12.5,US
how to ecommerce services,/case-studies,1134,3404,0.1176,4.0,IN
best ecommerce solution,/case-studies,206,7333,0.1153,2.1,UK
buy ecommerce tools,/case-studies,830,14634,0.0751,41.7,UK
compare ecommerce solution,/case-studies,363,23825,0.0736,21.6,US
best ecommerce software,/pricing,1092,24782,0.0507,18.2,IN
how to ecommerce services,/pricing,853,4171,0.0865,44.2,US
top ecommerce software,/,303,26938,0.075,3.1,US
buy ecommerce software,/product,389,26967,0.0937,13.5,US
compare ecommerce services,/blog/guide,57,35973,0.0365,14.3,IN
compare ecommerce solution,/blog/guide,756,39670,0.1091,39.5,US
compare ecommerce services,/product,701,32101,0.097,10.5,US
best ecommerce services,/,883,36836,0.0238,18.1,IN
how to ecommerce solution,/product,119,28883,0.0266,35.7,US
how to ecommerce tools,/pricing,682,22930,0.0414,35.6,IN
how to ecommerce solution,/pricing,202,44215,0.0027,26.7,IN
best ecommerce solution,/,476,23862,0.0688,16.2,UK
how to ecommerce solution,/,1158,48384,0.0141,41.9,UK
top ecommerce solution,/product,125,28055,0.0913,21.9,US
top ecommerce software,/blog/guide,775,17812,0.014,13.5,US
