refund_id,order_id,refund_date,reason,amount
cli_0006_rf_00028,cli_0006_ord_00028,2026-02-23,customer_request,954.31
cli_0006_rf_00035,cli_0006_ord_00035,2026-04-06,shipping_delay,50.03
cli_0006_rf_00037,cli_0006_ord_00037,2026-02-25,other,1480.68
cli_0006_rf_00057,cli_0006_ord_00057,2026-03-24,product_issue,278.67
cli_0006_rf_00091,cli_0006_ord_00091,2026-03-21,product_issue,575.05
cli_0006_rf_00110,cli_0006_ord_00110,2026-04-01,customer_request,566.26
cli_0006_rf_00144,cli_0006_ord_00144,2026-02-25,other,71.47
cli_0006_rf_00156,cli_0006_ord_00156,2025-12-29,customer_request,2324.12
cli_0006_rf_00166,cli_0006_ord_00166,2026-04-14,other,316.79
cli_0006_rf_00171,cli_0006_ord_00171,2026-03-30,duplicate_charge,1151.64
cli_0006_rf_00185,cli_0006_ord_00185,2026-02-25,other,350.2
cli_0006_rf_00201,cli_0006_ord_00201,2026-01-07,other,719.26
