date,channel,campaign_name,ad_set_or_group,spend,impressions,clicks,conversions,ctr,cpc,cpa,status
2026-02-24,meta_ads,Vertex Commerce Prospecting,B,640.29,674061,25559,1873,0.0379,0.03,0.34,active
2026-02-24,email,Vertex Commerce Launch,D,370.06,882394,54421,1429,0.0617,0.01,0.26,paused
2026-02-24,linkedin_ads,Vertex Commerce Offer,D,671.04,1011425,55023,4114,0.0544,0.01,0.16,active
2026-02-25,meta_ads,Vertex Commerce Retargeting,D,527.64,537028,26918,1292,0.0501,0.02,0.41,active
2026-02-25,email,Vertex Commerce Retargeting,B,666.91,1061222,13035,480,0.0123,0.05,1.39,active
2026-02-25,linkedin_ads,Vertex Commerce Offer,B,415.87,801351,25041,822,0.0312,0.02,0.51,paused
2026-02-26,meta_ads,Vertex Commerce Offer,B,588.66,597030,33161,3907,0.0555,0.02,0.15,active
2026-02-26,email,Vertex Commerce Prospecting,C,520.57,1034517,39615,3173,0.0383,0.01,0.16,active
2026-02-26,linkedin_ads,Vertex Commerce Launch,A,744.4,1641894,104556,10495,0.0637,0.01,0.07,learning
2026-02-27,meta_ads,Vertex Commerce Offer,D,533.44,706699,30674,967,0.0434,0.02,0.55,active
2026-02-27,email,Vertex Commerce Prospecting,A,478.62,549852,22004,646,0.04,0.02,0.74,active
2026-02-27,linkedin_ads,Vertex Commerce Brand,C,451.1,1027629,12069,453,0.0117,0.04,1.0,active
2026-02-28,meta_ads,Vertex Commerce Prospecting,A,449.8,545748,30708,3280,0.0563,0.01,0.14,active
2026-02-28,email,Vertex Commerce Launch,A,450.97,369294,8437,613,0.0228,0.05,0.74,active
2026-02-28,linkedin_ads,Vertex Commerce Prospecting,D,626.56,1256443,74621,4800,0.0594,0.01,0.13,active
2026-03-01,meta_ads,Vertex Commerce Prospecting,A,492.54,704769,26319,1111,0.0373,0.02,0.44,active
2026-03-01,email,Vertex Commerce Launch,C,423.54,476391,16954,504,0.0356,0.02,0.84,active
2026-03-01,linkedin_ads,Vertex Commerce Prospecting,A,580.69,1437722,53489,4331,0.0372,0.01,0.13,active
2026-03-02,meta_ads,Vertex Commerce Brand,A,329.25,712835,44299,5258,0.0621,0.01,0.06,learning
2026-03-02,email,Vertex Commerce Offer,C,483.68,1041903,54203,4753,0.052,0.01,0.1,active
2026-03-02,linkedin_ads,Vertex Commerce Brand,A,535.68,627710,13122,466,0.0209,0.04,1.15,active
2026-03-03,meta_ads,Vertex Commerce Prospecting,C,455.4,901534,35398,406,0.0393,0.01,1.12,active
2026-03-03,email,Vertex Commerce Prospecting,C,573.52,1293925,48765,4701,0.0377,0.01,0.12,active
2026-03-03,linkedin_ads,Vertex Commerce Brand,C,637.48,1154486,72499,8566,0.0628,0.01,0.07,active
2026-03-04,meta_ads,Vertex Commerce Offer,A,439.93,490667,7912,122,0.0161,0.06,3.61,active
2026-03-04,email,Vertex Commerce Launch,B,566.0,634149,15150,1728,0.0239,0.04,0.33,limited
2026-03-04,linkedin_ads,Vertex Commerce Retargeting,B,568.07,637409,21044,411,0.033,0.03,1.38,active
2026-03-05,meta_ads,Vertex Commerce Retargeting,B,508.05,490426,13280,657,0.0271,0.04,0.77,active
2026-03-05,email,Vertex Commerce Prospecting,B,428.43,716559,26579,1707,0.0371,0.02,0.25,active
2026-03-05,linkedin_ads,Vertex Commerce Retargeting,C,429.48,602575,30879,2609,0.0512,0.01,0.16,active
2026-03-06,meta_ads,Vertex Commerce Prospecting,A,512.62,1261287,17413,195,0.0138,0.03,2.63,paused
2026-03-06,email,Vertex Commerce Prospecting,C,390.4,900538,50916,4549,0.0565,0.01,0.09,active
2026-03-06,linkedin_ads,Vertex Commerce Prospecting,A,362.55,650980,20953,401,0.0322,0.02,0.9,active
2026-03-07,meta_ads,Vertex Commerce Offer,C,539.66,689835,15835,348,0.023,0.03,1.55,active
2026-03-07,email,Vertex Commerce Retargeting,C,350.8,339207,13616,680,0.0401,0.03,0.52,active
2026-03-07,linkedin_ads,Vertex Commerce Brand,B,668.22,1614880,85379,4344,0.0529,0.01,0.15,limited
2026-03-08,meta_ads,Vertex Commerce Prospecting,C,487.42,1119752,55950,5991,0.05,0.01,0.08,active
2026-03-08,email,Vertex Commerce Prospecting,B,610.73,561079,7395,717,0.0132,0.08,0.85,active
2026-03-08,linkedin_ads,Vertex Commerce Launch,D,632.76,1310747,50208,2984,0.0383,0.01,0.21,active
2026-03-09,meta_ads,Vertex Commerce Brand,A,584.07,772126,8674,528,0.0112,0.07,1.11,active
2026-03-09,email,Vertex Commerce Offer,B,390.3,653332,37138,3411,0.0568,0.01,0.11,learning
2026-03-09,linkedin_ads,Vertex Commerce Offer,D,735.39,1094934,45017,2766,0.0411,0.02,0.27,paused
2026-03-10,meta_ads,Vertex Commerce Brand,D,373.69,460451,25517,1580,0.0554,0.01,0.24,active
2026-03-10,email,Vertex Commerce Prospecting,A,350.63,593935,40219,3833,0.0677,0.01,0.09,active
2026-03-10,linkedin_ads,Vertex Commerce Brand,B,654.16,1222443,36573,3177,0.0299,0.02,0.21,active
2026-03-11,meta_ads,Vertex Commerce Launch,B,684.25,710862,11769,1283,0.0166,0.06,0.53,active
2026-03-11,email,Vertex Commerce Retargeting,B,504.66,769608,53714,4316,0.0698,0.01,0.12,active
2026-03-11,linkedin_ads,Vertex Commerce Prospecting,B,357.2,427048,12057,1321,0.0282,0.03,0.27,active
2026-03-12,meta_ads,Vertex Commerce Retargeting,B,542.61,1191773,37857,2017,0.0318,0.01,0.27,paused
2026-03-12,email,Vertex Commerce Brand,C,689.67,1591847,74281,1635,0.0467,0.01,0.42,learning
