query,page,clicks,impressions,ctr,avg_position,country
best local_services software,/,278,33989,0.1078,13.2,IN
best local_services tools,/blog/guide,928,33991,0.0454,2.9,US
how to local_services services,/product,1,12063,0.097,31.3,US
best local_services solution,/pricing,830,7742,0.0465,21.8,US
best local_services services,/product,600,19878,0.0378,7.4,US
how to local_services services,/product,430,5464,0.0937,24.3,US
buy local_services services,/product,393,48801,0.0447,7.7,IN
buy local_services services,/pricing,503,38038,0.0564,33.6,IN
how to local_services software,/,1048,35961,0.0329,2.3,IN
compare local_services tools,/,442,8321,0.0897,33.8,US
top local_services services,/case-studies,717,25524,0.0403,44.3,UK
compare local_services software,/product,420,20123,0.065,18.4,IN
how to local_services software,/case-studies,1177,18438,0.0572,24.7,US
compare local_services software,/,1014,1749,0.0586,13.2,US
compare local_services tools,/case-studies,124,38420,0.0502,6.7,US
best local_services software,/product,574,21249,0.1096,28.3,IN
how to local_services solution,/blog/guide,1039,3373,0.0376,16.7,IN
top local_services software,/product,29,26544,0.0218,17.1,US
top local_services services,/,97,45044,0.0564,14.9,US
how to local_services solution,/,913,13585,0.0225,22.1,US
buy local_services tools,/case-studies,1167,25227,0.0309,36.2,US
top local_services tools,/pricing,852,36151,0.0155,13.1,IN
best local_services services,/blog/guide,40,11502,0.1189,30.4,US
top local_services tools,/pricing,1195,5407,0.0052,39.2,US
how to local_services services,/product,900,39370,0.0384,29.7,IN
best local_services tools,/product,49,21556,0.0696,41.3,US
best local_services software,/pricing,226,25139,0.0886,2.0,US
best local_services tools,/product,599,13391,0.0468,20.0,US
how to local_services services,/product,105,35208,0.0106,41.4,US
how to local_services tools,/product,931,45050,0.11,11.4,US
best local_services tools,/product,231,26503,0.0452,27.2,UK
buy local_services tools,/product,411,28215,0.1069,19.6,UK
how to local_services software,/pricing,1148,46663,0.0479,19.7,IN
top local_services software,/case-studies,1015,930,0.0613,41.1,US
buy local_services software,/blog/guide,565,24967,0.1072,20.0,IN
how to local_services solution,/pricing,132,8252,0.0281,41.8,IN
buy local_services tools,/pricing,727,43939,0.0445,41.2,US
compare local_services solution,/blog/guide,840,23858,0.0698,13.5,US
compare local_services software,/,739,5731,0.0844,31.5,US
top local_services services,/blog/guide,715,41482,0.0472,28.6,UK
